NOM,VILLE,ADRESSE,TEL,FAX,NOM PHARMACIEN RESPONSABLE
GIPHAR,CASABLANCA,5 RTE DE LA CONTINENENTALE,05.22.67.97.30 05.22.67.97.31,05.22.66.21.20,MME FADWA JEGOURA
G.P.M,CASABLANCA,RUE IBNOU KATIR N°5 MAARIF,05.22.77.88.00,05.22.98.25.30,MME LAMIA EL GHASSAL
G.P.F,FES,"26, RUE DE D’ARABIE SAOUDITE",05.35.94.48.36 05.35.94.48.37,05.35.94.48.31,M AKRAM ASBAGHI
GLOBALDIS,MARRAKECH,BD ABDELKRIM EL KHATTABI RTE DE SAFI ET RTE DE CASABLANCA,05.24.42.18.70,05.24.42.10.80,M. BAYOUMI KHALIL
KENIPHARMA,KENITRA,"N°8, RUE SAAD ZAGHLOUL, RESIDENCE MOULAY SLIMANE, LA VILLE HAUTE",05.37.36.36.56 05.37.37.61.47,05.37.37.41.54,MME EL JADIDI BOUTAINA MERIEM
LODIMED,MARRAKECH,422-423 ZONE INDUSRIELLE SIDI GHANEM,05.24.33.83.00,05.24.33.83.05,MME SAYAGH SANAE
MAREPHA,MOHAMMEDIA,82 ZONE IND SUD OUEST,05.23.32.90.60,05.23.32.90.84,M. Rachid EL IDRISSI BENHIBA
MEDEXPERT,AGADIR,131 BD IBN AL HAYTAM ZI TASSILA DCHIRA AGADIR,05.28.32.97.97,05.28.38.43.43,M. ASSELLAOUI JAOUAD
MEDIREP,AGADIR,LOT E 43Z.I. TASSILLA DCHEIRA EL JIHADIA,05.28.33.34.44,05.28.83.83.21,M. MOUNIR ETISSIR
MD5,CASABLANCA,21 RUE DES ASPHODELES MAARIF,05.20.15.03.00,05.20.15.03.07,MME SANAE SAGHIR
MEDICOL,TETOUAN,PLACE AL HAMAMA AV HASSAN II,05.39.96.00.96,05.39.70.18.73,MME LAILA MOULAT
ORIENTAL MEDICA,OUJDA,299 BD DERFOUFI,05.36.68.78.94,05.36.68.69.81,M. AHANDOUR TAOUFIK
O.R.P,SALE,HAY RAHMA RUE LAAYHOUNE LOT 1374 ZONE D ACTVITE TABRIQUET,05.37.86.99.00,05.37.78.64.36,MME SELMA LAHKIM BENNANI
PHARMACOOP,RABAT,N°12 QL QUARTIER INDUSTRIL TAKADOUM,05.37.63.32.81,05.37.65.78.75,MME ALAOUI LALLA AMINA
PHARMA EST,OUJDA,"N°112 BIS, ZONE INDUSTRIELLE.",05.36.68.68.67,,M. JAMAL TEKNI
PHARMAMEC,MEKNES,ZONE INDUSTRIELLE BASSATINE,05.35.50.45.55 05.35.50.05.77 05.35.50.50.40,,MME BADDOU RIM
PHARMANORD,TANGER,"43, BIS RUE AHMED CHAOUKI",05.39.33.38.38,05.39.93.61.92,MME ZAKARIA ZAHHAR
PHARMASMIR,TETOUAN,AIN KHABAZ RUE SEBOU B.P.769,05.39.71.14.55,05.39.71.14.61,MME MOUNIA MEDOUAR
REPHAL,LARACHE,ZONE D’ACTIVITE HOSTALE LOT 34 B.P. 616,05.39.52.04.01,05.39.52.10.96,M. SALEK SAAD
RECAMED,CASABLANCA,LOT N°1 LOT ALAMIA COMMUNE SIDI MOUMENE,05.22.76.87.87,05.22.76.75.74,MME YOUSRA MAAFI
REPHAK,KENITRA,ZONE INDUSTRIELLE BIR RAMI EST 14000,05.37.33.70.80,05.37.33.70.94,M. ATMANI REDDOUAN
REPHAR,FES,1 BIS RUE RIBAT EL KHEIR VILLE NOUVELLE,05.35.94.45.01,05.35.94.45.08,M. BENZAKOUR MOHAMED
SAHAR REPARTITION,LAAYOUNE,AVENUE DE LA MEQUE N°237 BUREAU 10,05.28.99.41.40,05.28.99.02.56,MME MOUNIA EL FAR
S.A.R.P,TANGER,RESIDENCE CHARF N°80 AV AL MANSOUR,05.39.94.40.90,05.39.94.40.92,MME NADIA DARRAZ
SDM PHARMA,SALA AL JADIDA,AVENUE ABDERAHIM BOUABID,05.37.53.97.00,05.37.53.09.04,M. EL BACHIR BICHRI
S.E.R.P,MARRAKECH,16 IMM 53 ALKIRAME 2 BOKAR CIE MOHAMMADIA,05.24.33.88.10,.5.24.33.88.20,M. Nabil EL KHAOUDY
SOPHANORD,MEKNES,KM7 RTE D EL HAJEB B.P. N° 212,05.35.53.77.11,05.35.53.75.03,MME Natalia GORBOUNOVA
SOPHATLANTIC,SAFI,DAR SI AISSA,05.24.62.75.40,05.24.62.83.62,MME.ILHAM GHASNI
SOPHAFAS,FES,2 RUE KHOURIBGUA QUARTIER DOKARAT,05.35.62.61.55,05.35.62.62.16,M. Ahmed TLEMCANI
SOFASAIS,FES,"N°36, RUE JABIR IBN HAYANE Q.I SIDI BRAHIM",05.35.73.77.77,05.35.73.49.67,Mme Maha MEZIATI
SOPHAGHARB,MEKNES,30 LOT SIDI ZOUZEKRI,05.35.45.20.80,05.35.45.20.82,MME NAWAL LAHBIL
SOPHASALE,SALE,SEHB EL CAID IMM MAANINOU,05.37.81.92.00,05.37.80.62.37,M. JALAL KOUHEN
SOPHACENTRE,RABAT,RUE EL MAJD QUARTIER IND YACOUB EL MANSOUR,05.37.79.59.14,05.37.79.51.05,M. MOHAMMED AMINE CHERKI
