STATUT AMM,STATUT COMMERCIALISATION,SPECIALITE,DOSAGE,FORME,PRESENTATION,PP GN,SUBSTANCE ACTIVE,CLASSE THERAPEUTIQUE,EPI,PPV,PH,PFHT,TVA
AMM ENREGISTREE,Commercialisé,BELMAZOL,20 MG,GELULE,BOITE DE 7,GN,OMEPRAZOLE,GASTRO-ENTEROLOGIE,AFRIC PHAR,2100,1310,1252,0%
AMM ENREGISTREE,Non Commercialisé,BEMAG,500 MG / 125 MG,SOLUTION BUVABLE,BOITE DE 20 AMPOULE DE 10 ML,GN,MAGNESIUM (GLYCEROPHOSPHATE) // PYRIDOXINE (CHLORHYDRATE),VITAMINES,AFRIC PHAR,3910,2440,2325,0%
AMM ENREGISTREE,Non Commercialisé,BIODROXIL,1000 MG,COMPRIME ENROBE,BOITE DE 12,GN,CEFADROXIL,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,14300,8940,8511,0%
AMM ENREGISTREE,Non Commercialisé,BIODROXIL,125 MG / 5 ML,GRANULE POUR SUSPENSION ORALE,FLACON DE 45 G,GN,CEFADROXIL,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,2410,1510,1435,0%
AMM ENREGISTREE,Non Commercialisé,BIODROXIL,250 MG / 5 ML,GRANULE POUR SUSPENSION ORALE,FLACON DE 45 G,GN,CEFADROXIL,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,4290,2680,2553,0%
AMM ENREGISTREE,Non Commercialisé,BIODROXIL,500 MG,GELULE,BOITE DE 12,GN,CEFADROXIL,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,7150,4470,4256,0%
AMM ENREGISTREE,Commercialisé AO,BIOMOX,1 G,COMPRIME DISPERSIBLE,BOITE DE 12,GN,AMOXICILLINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,5140,3210,3059,0%
AMM ENREGISTREE,Commercialisé AO,BIOMOX,1 G,COMPRIME DISPERSIBLE,BOITE DE 24,GN,AMOXICILLINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,9040,5650,5383,0%
AMM ENREGISTREE,Commercialisé AO,BIOMOX,250 MG,POUDRE POUR SUSPENSION BUVABLE,FLACON DE 100 ML,GN,AMOXICILLINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,3140,1960,1872,0%
AMM ENREGISTREE,Commercialisé AO,BIOMOX,250 MG,SUSPENSION BUVABLE,FLACON DE 60 ML,GN,AMOXICILLINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,2190,1370,1305,0%
AMM ENREGISTREE,Commercialisé AO,BIOMOX,500 MG,GELULE,BOITE DE 12,GN,AMOXICILLINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,3230,2020,1924,0%
AMM ENREGISTREE,Commercialisé AO,BIOMOX,500 MG,GELULE,BOITE DE 24,GN,AMOXICILLINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,5690,3550,3386,0%
AMM ENREGISTREE,Commercialisé,BROMAX,"15 MG / 5 ML (0,30%)",SOLUTION BUVABLE,FLACON DE 200 ML,GN,AMBROXOL,PNEUMOLOGIE,AFRIC PHAR,2710,1690,1613,0%
AMM ENREGISTREE,Commercialisé,BROMAX,"30 MG / 5 ML (0,6%)",SOLUTION BUVABLE,FLACON DE 200 ML,GN,AMBROXOL,PNEUMOLOGIE,AFRIC PHAR,3080,1930,1836,0%
AMM ENREGISTREE,Non Commercialisé,BRONCOTEC,12 µG,GELULE POUR INHALATION,BOITE DE 20,GN,FORMOTEROL (FUMARATE),PNEUMOLOGIE,ATLAS PHARM,8460,5290,5036,0%
AMM ENREGISTREE,Non Commercialisé,BRONCOTEC,12 µG,GELULE POUR INHALATION,BOITE DE 30,GN,FORMOTEROL (FUMARATE),PNEUMOLOGIE,ATLAS PHARM,12380,7740,7369,0%
AMM ENREGISTREE,Commercialisé,BUDENA,100 MCG,AEROSOL NASAL,FLACON DE 200 DOSES,GN,BUDESONIDE,ALLERGOLOGIE,AFRIC PHAR,13920,8700,8288,0%
AMM ENREGISTREE,Commercialisé,BUDENA,200 MCG,AEROSOL,FLACON DE 200 DOSES,GN,BUDESONIDE,PNEUMOLOGIE,AFRIC PHAR,23400,14620,13929,0%
AMM ENREGISTREE,Commercialisé AO,BUDENA,64 µG / DOSE,SUSPENSION POUR PELVERISATION NASALE,FLACON DE 120 DOSES,GN,BUDESONIDE,ALLERGOLOGIE,AFRIC PHAR,6790,4240,4041,0%
AMM ENREGISTREE,Commercialisé,CATEX,250 MG,COMPRIME,BOITE DE 10,GN,CIPROFLOXACINE (CHLORHYDRATE),INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,5140,3210,3060,0%
AMM ENREGISTREE,Commercialisé,CATEX,250 MG,COMPRIME,BOITE DE 20,GN,CIPROFLOXACINE (CHLORHYDRATE),INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,9050,5650,5385,0%
AMM ENREGISTREE,Commercialisé,CATEX,500 MG,COMPRIME,BOITE DE 10,GN,CIPROFLOXACINE (CHLORHYDRATE),INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,7480,4670,4450,0%
AMM ENREGISTREE,Commercialisé,CATEX,500 MG,COMPRIME,BOITE DE 20,GN,CIPROFLOXACINE (CHLORHYDRATE),INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,13160,8220,7832,0%
AMM ENREGISTREE,Commercialisé AO,CATEX,750 MG,COMPRIME,BOITE DE 10,GN,CIPROFLOXACINE (CHLORHYDRATE),INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,13100,8190,7800,0%
AMM ENREGISTREE,Commercialisé AO,CATEX,750 MG,COMPRIME,BOITE DE 20,GN,CIPROFLOXACINE (CHLORHYDRATE),INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,47000,31200,29798,0%
AMM ENREGISTREE,Non Commercialisé,CELLUVISC,"4 MG / 0,4 ML",COLLYRE RECIPIENT UNIDOSE,BOITE DE 30,PP,CARMELLOSE (SODIQUE),OPHTALMOLOGIE,AFRIC PHAR,4150,2590,2470,0%
AMM ENREGISTREE,Commercialisé,CETIRAL,1 MG / ML,SOLUTION BUVABLE,FLACON DE 60 ML,GN,CETIRIZINE (DICHLORHYDRATE),ALLERGOLOGIE,AFRIC PHAR,2560,1600,1525,0%
AMM ENREGISTREE,Commercialisé,CETIRAL,10 MG,COMPRIME PELLICULE,BOITE DE 15,GN,CETIRIZINE (DICHLORHYDRATE),ALLERGOLOGIE,AFRIC PHAR,4280,2670,2547,0%
AMM ENREGISTREE,Commercialisé AO,CHEMOSET,2 MG / ML,SOLUTION INJECTABLE,BOITE DE 5 AMPOULE DE 2 ML,GN,ONDANSETRON (CHLOHYDRATE),CANCEROLOGIE-HEMATOLOGIE,AFRIC PHAR,26900,17930,17075,0%
AMM ENREGISTREE,Commercialisé,CHEMOSET,2 MG / ML,SOLUTION INJECTABLE,BOITE DE 5 AMPOULE DE 4 ML,GN,ONDANSETRON (CHLOHYDRATE),CANCEROLOGIE-HEMATOLOGIE,AFRIC PHAR,51100,34000,32383,0%
AMM RETIREE,Retiré du Marché,CHEMOSET,4 MG,COMPRIME PELLICULE,BOITE DE 1,GN,ONDANSETRON (CHLOHYDRATE),CANCEROLOGIE-HEMATOLOGIE,AFRIC PHAR,2200,1370,1224,0%
AMM ENREGISTREE,Commercialisé AO,CHEMOSET,4 MG,COMPRIME PELLICULE,BOITE DE 10,GN,ONDANSETRON (CHLOHYDRATE),CANCEROLOGIE-HEMATOLOGIE,AFRIC PHAR,17570,10980,10458,0%
AMM ENREGISTREE,Commercialisé AO,CHEMOSET,4 MG,COMPRIME PELLICULE,BOITE DE 5,GN,ONDANSETRON (CHLOHYDRATE),CANCEROLOGIE-HEMATOLOGIE,AFRIC PHAR,9160,5720,5452,0%
AMM RETIREE,Retiré du Marché,CHEMOSET,8 MG,COMPRIME PELLICULE,BOITE DE 1,GN,ONDANSETRON (CHLOHYDRATE),CANCEROLOGIE-HEMATOLOGIE,AFRIC PHAR,3900,2430,2170,0%
