STATUT AMM,STATUT COMMERCIALISATION,SPECIALITE,DOSAGE,FORME,PRESENTATION,PP GN,SUBSTANCE ACTIVE,CLASSE THERAPEUTIQUE,EPI,PPV,PH,PFHT,TVA,nom,dci,forme,dosage,prix,statut
AMM ENREGISTREE,Commercialisé,CATEX,500 MG,COMPRIME,BOITE DE 10,GN,CIPROFLOXACINE (CHLORHYDRATE),INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,7480.0,4670.0,4450.0,0%,,,,,,
AMM ENREGISTREE,Commercialisé,CATEX,500 MG,COMPRIME,BOITE DE 20,GN,CIPROFLOXACINE (CHLORHYDRATE),INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,13160.0,8220.0,7832.0,0%,,,,,,
AMM ENREGISTREE,Commercialisé AO,CATEX,750 MG,COMPRIME,BOITE DE 10,GN,CIPROFLOXACINE (CHLORHYDRATE),INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,13100.0,8190.0,7800.0,0%,,,,,,
AMM ENREGISTREE,Commercialisé AO,CATEX,750 MG,COMPRIME,BOITE DE 20,GN,CIPROFLOXACINE (CHLORHYDRATE),INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,47000.0,31200.0,29798.0,0%,,,,,,
AMM ENREGISTREE,Non Commercialisé,CELLUVISC,"4 MG / 0,4 ML",COLLYRE RECIPIENT UNIDOSE,BOITE DE 30,PP,CARMELLOSE (SODIQUE),OPHTALMOLOGIE,AFRIC PHAR,4150.0,2590.0,2470.0,0%,,,,,,
AMM ENREGISTREE,Commercialisé,CETIRAL,1 MG / ML,SOLUTION BUVABLE,FLACON DE 60 ML,GN,CETIRIZINE (DICHLORHYDRATE),ALLERGOLOGIE,AFRIC PHAR,2560.0,1600.0,1525.0,0%,,,,,,
AMM ENREGISTREE,Commercialisé,CETIRAL,10 MG,COMPRIME PELLICULE,BOITE DE 15,GN,CETIRIZINE (DICHLORHYDRATE),ALLERGOLOGIE,AFRIC PHAR,4280.0,2670.0,2547.0,0%,,,,,,
AMM ENREGISTREE,Commercialisé AO,CHEMOSET,2 MG / ML,SOLUTION INJECTABLE,BOITE DE 5 AMPOULE DE 2 ML,GN,ONDANSETRON (CHLOHYDRATE),CANCEROLOGIE-HEMATOLOGIE,AFRIC PHAR,26900.0,17930.0,17075.0,0%,,,,,,
AMM ENREGISTREE,Commercialisé,CHEMOSET,2 MG / ML,SOLUTION INJECTABLE,BOITE DE 5 AMPOULE DE 4 ML,GN,ONDANSETRON (CHLOHYDRATE),CANCEROLOGIE-HEMATOLOGIE,AFRIC PHAR,51100.0,34000.0,32383.0,0%,,,,,,
AMM RETIREE,Retiré du Marché,CHEMOSET,4 MG,COMPRIME PELLICULE,BOITE DE 1,GN,ONDANSETRON (CHLOHYDRATE),CANCEROLOGIE-HEMATOLOGIE,AFRIC PHAR,2200.0,1370.0,1224.0,0%,,,,,,
AMM ENREGISTREE,Commercialisé AO,CHEMOSET,4 MG,COMPRIME PELLICULE,BOITE DE 10,GN,ONDANSETRON (CHLOHYDRATE),CANCEROLOGIE-HEMATOLOGIE,AFRIC PHAR,17570.0,10980.0,10458.0,0%,,,,,,
AMM ENREGISTREE,Commercialisé AO,CHEMOSET,4 MG,COMPRIME PELLICULE,BOITE DE 5,GN,ONDANSETRON (CHLOHYDRATE),CANCEROLOGIE-HEMATOLOGIE,AFRIC PHAR,9160.0,5720.0,5452.0,0%,,,,,,
AMM RETIREE,Retiré du Marché,CHEMOSET,8 MG,COMPRIME PELLICULE,BOITE DE 1,GN,ONDANSETRON (CHLOHYDRATE),CANCEROLOGIE-HEMATOLOGIE,AFRIC PHAR,3900.0,2430.0,2170.0,0%,,,,,,
,,,,,,,,,,,,,,"L'AMMPSQui somme-nous ?Présentation de l'AMMPSMot de Mr le Directeur généraleLe Conseil d’Administration de l’AMMPSNotre Vision,Nos MissionsNos valeursNotre SMQDocuments de référenceBase de données de",,,,,
,,,,,,,,,,,,,,"L'AMMPSQui somme-nous ?Présentation de l'AMMPSMot de Mr le Directeur généraleLe Conseil d’Administration de l’AMMPSNotre Vision,Nos MissionsNos valeursNotre SMQDocuments de référenceBase de données de",,,,,
,,,,,,,,,,,,,,Espace consommateurCréer votre compteEspace privéFormulaires,,,,,
,,,,,,,,,,,,,,Créer votre compte,,,,,
,,,,,,,,,,,,,,Espace privé,,,,,
,,,,,,,,,,,,,,Formulaires,,,,,
,,,,,,,,,,,,,,Vos démarchesEtablissements pharmaceutiques industrielsEtablissements pharmaceutiques grossistes répartiteursRendez-vous de déclaration des sociétésDépôt des dossiers techniquesDépôt des échantillonsD,,,,,
,,,,,,,,,,,,,,Etablissements pharmaceutiques industriels,,,,,
,,,,,,,,,,,,,,Etablissements pharmaceutiques grossistes répartiteurs,,,,,
,,,,,,,,,,,,,,Rendez-vous de déclaration des sociétés,,,,,
,,,,,,,,,,,,,,Dépôt des dossiers techniques,,,,,
,,,,,,,,,,,,,,Dépôt des échantillons,,,,,
,,,,,,,,,,,,,,Dépôt des autres documents,,,,,
,,,,,,,,,,,,,,Signalement d'un défaut de qualité,,,,,
,,,,,,,,,,,,,,Signalement d'un produit contrefait,,,,,
,,,,,,,,,,,,,,Pharmacovigilance : Notifier un événement indésirable,,,,,
,,,,,,,,,,,,,,DataBASE DE DONNÉES DES MÉDICAMENTSLISTE DES MÉDICAMENTSETABLISSEMENTS PHARMACEUTIQUES GROSSISTES RÉPARTITEURSPHARMACIESETABLISSEMENTS PHARMACEUTIQUES INDUSTRIELSETABLISSEMENTS PHARMACEUTIQUES VÉTÉRIN,,,,,
,,,,,,,,,,,,,,BASE DE DONNÉES DES MÉDICAMENTS,,,,,
,,,,,,,,,,,,,,LISTE DES MÉDICAMENTS,,,,,
,,,,,,,,,,,,,,ETABLISSEMENTS PHARMACEUTIQUES GROSSISTES RÉPARTITEURS,,,,,
,,,,,,,,,,,,,,ETABLISSEMENTS PHARMACEUTIQUES INDUSTRIELS,,,,,
,,,,,,,,,,,,,,ETABLISSEMENTS PHARMACEUTIQUES VÉTÉRINAIRES,,,,,
,,,,,,,,,,,,,,LISTE DES CENTRES  DE BIOEQUIVALENCE,,,,,
,,,,,,,,,,,,,,LA LISTE DES LABORATOIRES PREQUALIFIES OMS,,,,,
,,,,,,,,,,,,,,LA LISTE DES ANR RECONNUES PAR DMP,,,,,
,,,,,,,,,,,,,,LA LISTE DES VACCINS LIBÉRÉS,,,,,
,,,,,,,,,,,,,,SOCIÉTÉS DE DISPOSITIFS MÉDICAUX,,,,,
,,,,,,,,,,,,,,Evénements AMMPSCommuniqués AMMPSCommuniqués de presseDiversToutes les Actualités,,,,,
,,,,,,,,,,,,,,Communiqués AMMPS,,,,,
,,,,,,,,,,,,,,Communiqués de presse,,,,,
,,,,,,,,,,,,,,Toutes les Actualités,,,,,
,,,,,,,,,,,,,,ActualitésToutes les ActualitésNote d'informationLettre d'informationInformations pharmacovigilanceInformations aux professionnels de la SantéNotes d'informationMédiathèqueLiens utilesMinistère de la ,,,,,
,,,,,,,,,,,,,,Toutes les Actualités,,,,,
,,,,,,,,,,,,,,Note d'information,,,,,
,,,,,,,,,,,,,,Lettre d'information,,,,,
,,,,,,,,,,,,,,Informations aux professionnels de la Santé,,,,,
,,,,,,,,,,,,,,Notes d'information,,,,,
,,,,,,,,,,,,,,Médiathèque,,,,,
,,,,,,,,,,,,,,Ministère de la Santé et de la Protection Sociale,,,,,
,,,,,,,,,,,,,,Agence Nationale de l'Assurance Maladie,,,,,
,,,,,,,,,,,,,,Le Centre de Référence sur les Agents Tératogènes,,,,,
,,,,,,,,,,,,,,EUROPEAN MEDICINES AGENCY,,,,,
,,,,,,,,,,,,,,Actualités nationales,,,,,
,,,,,,,,,,,,,,Actualités internationales,,,,,
,,,,,,,,,,,,,,Pharmacie Hospitalière,,,,,
,,,,,,,,,,,,,,"L'AMMPSQui somme-nous ?Présentation de l'AMMPSMot de Mr le Directeur généraleLe Conseil d’Administration de l’AMMPSNotre Vision,Nos MissionsNos valeursNotre SMQDocuments de référenceBase de données de",,,,,
,,,,,,,,,,,,,,"L'AMMPSQui somme-nous ?Présentation de l'AMMPSMot de Mr le Directeur généraleLe Conseil d’Administration de l’AMMPSNotre Vision,Nos MissionsNos valeursNotre SMQDocuments de référenceBase de données de",,,,,
,,,,,,,,,,,,,,Espace consommateurCréer votre compteEspace privéFormulaires,,,,,
,,,,,,,,,,,,,,Créer votre compte,,,,,
,,,,,,,,,,,,,,Espace privé,,,,,
,,,,,,,,,,,,,,Formulaires,,,,,
,,,,,,,,,,,,,,Vos démarchesEtablissements pharmaceutiques industrielsEtablissements pharmaceutiques grossistes répartiteursRendez-vous de déclaration des sociétésDépôt des dossiers techniquesDépôt des échantillonsD,,,,,
,,,,,,,,,,,,,,Etablissements pharmaceutiques industriels,,,,,
,,,,,,,,,,,,,,Etablissements pharmaceutiques grossistes répartiteurs,,,,,
,,,,,,,,,,,,,,Rendez-vous de déclaration des sociétés,,,,,
,,,,,,,,,,,,,,Dépôt des dossiers techniques,,,,,
,,,,,,,,,,,,,,Dépôt des échantillons,,,,,
,,,,,,,,,,,,,,Dépôt des autres documents,,,,,
,,,,,,,,,,,,,,Signalement d'un défaut de qualité,,,,,
,,,,,,,,,,,,,,Signalement d'un produit contrefait,,,,,
,,,,,,,,,,,,,,Pharmacovigilance : Notifier un événement indésirable,,,,,
,,,,,,,,,,,,,,DataBASE DE DONNÉES DES MÉDICAMENTSLISTE DES MÉDICAMENTSETABLISSEMENTS PHARMACEUTIQUES GROSSISTES RÉPARTITEURSPHARMACIESETABLISSEMENTS PHARMACEUTIQUES INDUSTRIELSETABLISSEMENTS PHARMACEUTIQUES VÉTÉRIN,,,,,
,,,,,,,,,,,,,,BASE DE DONNÉES DES MÉDICAMENTS,,,,,
,,,,,,,,,,,,,,LISTE DES MÉDICAMENTS,,,,,
,,,,,,,,,,,,,,ETABLISSEMENTS PHARMACEUTIQUES GROSSISTES RÉPARTITEURS,,,,,
,,,,,,,,,,,,,,ETABLISSEMENTS PHARMACEUTIQUES INDUSTRIELS,,,,,
,,,,,,,,,,,,,,ETABLISSEMENTS PHARMACEUTIQUES VÉTÉRINAIRES,,,,,
,,,,,,,,,,,,,,LISTE DES CENTRES  DE BIOEQUIVALENCE,,,,,
,,,,,,,,,,,,,,LA LISTE DES LABORATOIRES PREQUALIFIES OMS,,,,,
,,,,,,,,,,,,,,LA LISTE DES ANR RECONNUES PAR DMP,,,,,
,,,,,,,,,,,,,,LA LISTE DES VACCINS LIBÉRÉS,,,,,
,,,,,,,,,,,,,,SOCIÉTÉS DE DISPOSITIFS MÉDICAUX,,,,,
,,,,,,,,,,,,,,Evénements AMMPSCommuniqués AMMPSCommuniqués de presseDiversToutes les Actualités,,,,,
,,,,,,,,,,,,,,Communiqués AMMPS,,,,,
,,,,,,,,,,,,,,Communiqués de presse,,,,,
,,,,,,,,,,,,,,Toutes les Actualités,,,,,
,,,,,,,,,,,,,,ActualitésToutes les ActualitésNote d'informationLettre d'informationInformations pharmacovigilanceInformations aux professionnels de la SantéNotes d'informationMédiathèqueLiens utilesMinistère de la ,,,,,
,,,,,,,,,,,,,,Toutes les Actualités,,,,,
,,,,,,,,,,,,,,Note d'information,,,,,
,,,,,,,,,,,,,,Lettre d'information,,,,,
,,,,,,,,,,,,,,Informations aux professionnels de la Santé,,,,,
,,,,,,,,,,,,,,Notes d'information,,,,,
,,,,,,,,,,,,,,Médiathèque,,,,,
,,,,,,,,,,,,,,Ministère de la Santé et de la Protection Sociale,,,,,
,,,,,,,,,,,,,,Agence Nationale de l'Assurance Maladie,,,,,
,,,,,,,,,,,,,,Le Centre de Référence sur les Agents Tératogènes,,,,,
,,,,,,,,,,,,,,EUROPEAN MEDICINES AGENCY,,,,,
,,,,,,,,,,,,,,Actualités nationales,,,,,
,,,,,,,,,,,,,,Actualités internationales,,,,,
,,,,,,,,,,,,,,Pharmacie Hospitalière,,,,,
,,,,,,,,,,,,,,Créer votre compte est découvrez les services de l'AMMPS en ligneS'inscrire,,,,,
,,,,,,,,,,,,,,"Politique des cookiesEn poursuivant votre navigation sur ce site, vous acceptez l'utilisation de cookies à des fins statistiques.En savoir plus",,,,,
