name,city,province,region,type,beds,phone,email,website,latitude,longitude,address,source,id,place_id
Hôpital.Civil,Tétouan (Mun.),Tetouan,Tanger-Tetouan-Al Hoceima,HP,500.0,0539 93 23 11,,,,,"Route de Larache, Tétouan, Maroc",gov,19,13.0
Errazi,Tétouan (Mun.),Tetouan,Tanger-Tetouan-Al Hoceima,HPsyP,500.0,+212 539 93 31 31,,,,,"Route de Tétouan, 93000 Tétouan, Maroc",gov,20,13.0
Ben Karrich,Dar Bni Karrich,Tetouan,Tanger-Tetouan-Al Hoceima,HP,150.0,+212 5 53 83 14 14,benkarrich.hopital@gmail.com,https://benkarrich-hospital.ma,,,"Route de Meknès, Dar Bni Karrich, Meknès",gov,21,14.0
Hassan II,Fnideq (Mun.),Mdiq-Fnideq,Tanger-Tetouan-Al Hoceima,HPr,500.0,+212 539 98 00 00,,,,,"Route de Fnideq, 32000 Fnideq, Maroc",gov,22,15.0
Mohammed VI,M'Diq (Mun.),Mdiq-Fnideq,Tanger-Tetouan-Al Hoceima,HP,500.0,0539 52 51 51,,,,,"Route de l'aéroport, 37220 M'Diq",gov,23,16.0
Edderak,Berkane (Mun.),Berkane,Oriental,HP,250.0,0535 52 51 51,,,,,"Route de l'aéroport, 61300 Berkane",gov,24,17.0
Saidia,Saidia (Mun.),Berkane,Oriental,HPr,200.0,+212 528 31 31 31,,,,,"Route de l'hôpital, Saidia, Province de Nador, Région de Tanger-Tétouan-Al Hoceïma, Maroc",gov,25,18.0
Driouch,Driouch (Mun.),Driouch,Oriental,HP,150.0,+212 539 88 88 88,hpdriouch@minss.gov.ma,https://www.minss.gov.ma/fr/hopitaux/hpdriouch,,,"Route de la ville, Driouch, Province de Driouch, Région Tanger-Tétouan-Al Hoceïma, Maroc",gov,26,19.0
Hassan II,Bouarfa (Mun.),Figuig,Oriental,HP,500.0,+212 35 58 22 22,,,,,"Bouarfa, Province de Khenifra, Maroc",gov,27,20.0
Guercif,Guercif (Mun.),Guercif,Oriental,HP,250.0,+212 66 83 23 456,hopital.guercif@minss.gov.ma,https://hopitalguercif.minss.gov.ma,,,"Route de Meknès, Guercif 35000, Maroc",gov,28,21.0
Jrada,Laaouinate,Jerada,Oriental,HP,150.0,+212 6 11 22 33 44,jrada.hopital@laaouinate.ma,https://jrada.hopital.ma,,,"Route de Laaouinate, Jrada, Maroc",gov,29,22.0
Mohammed Vi,Al Aaroui (Mun.),Nador,Oriental,HPr,250.0,+212 5 83 00 00 00,mohammedvi.alaroui@hopitaux.ma,https://hopitaux.ma/mohammedvi-alaroui,,,"Route de la ville, Al Aaroui, Maroc",gov,30,23.0
Hassani,Nador (Mun.),Nador,Oriental,HP,250.0,0539 83 23 11,hassani.hopital@gmail.com,https://hassani-hospital.ma,,,"Route de l'aéroport, 62180 Nador",gov,31,24.0
Zaio,Zaio (Mun.),Nador,Oriental,HPr,120.0,,,,,,"Zaio, Maroc",gov,32,25.0
Al Farabi,Oujda (Mun.),Oujda Angad,Oriental,HR,600.0,+212 5 38 83 11 11,,,,,"Route de Tafilalet, 60000 Oujda, Maroc",gov,33,26.0
Hôpital Psychiatrique,Oujda (Mun.),Oujda Angad,Oriental,CPU,300.0,+212 66 76 64 64,,,,,"Route de la Zitoune, 60000 Oujda, Maroc",gov,34,26.0
Hôpital des Spécialitéss,Oujda (Mun.),Oujda Angad,Oriental,HIR,600.0,+212 66 77 22 11,,,,,"Route de Tafilalet, 60300 Oujda, Maroc",gov,35,26.0
Hôpital Mère-Enfant,Oujda (Mun.),Oujda Angad,Oriental,HIR,500.0,+212 66 23 23 23,hme.oujda@minss.gov.ma,https://www.hme-oujda.ma,,,"Route de la Zitoune, 60000 Oujda, Maroc",gov,36,26.0
Centre d'oncoligie Hassan II,Sidi Moussa Lemhaya,Oujda Angad,Oriental,HIR,150.0,0523 93 22 22,info@centre-oncologie-hassan2.ma,https://centre-oncologie-hassan2.ma,,,"Route de Sidi Moussa, 20100 Sidi Moussa Lemhaya, Maroc",gov,37,27.0
HPr Laayoune Sidi Mellouk,El Aioun Sidi Mellouk (Mun.),Taourirt,Oriental,HPr,150.0,+212 528 83 12 12,,,,,"Route de l'aéroport, El Aioun Sidi Mellouk, Laâyoune-Sakia El Hamra, Maroc",gov,38,28.0
Taourirt,Taourirt (Mun.),Taourirt,Oriental,HP,150.0,+212 24 88 23 11,,,,,"Route de Marrakech, Taourirt, Province de Ouarzazate, Maroc",gov,39,29.0
Sidi Said,Meknès (Mun.),Meknes,Fès-Meknès,HP,500.0,+212 53 923 111,sidi.said.hopital@gmail.com,https://www.hopital-sidisaid.ma,,,"Boulevard Sidi Mohamed Ben Abdellah, Meknès 50000, Maroc",gov,40,30.0
Mohamed V,Meknès (Mun.),Meknes,Fès-Meknès,HP,500.0,+212 5 53 85 22 22,,,,,"Boulevard Mohammed V, Meknès 50000, Maroc",gov,41,30.0
Pagnon,Meknès (Mun.),Meknes,Fès-Meknès,HP,250.0,0535 63 22 22,hospitalempagnon@gmail.com,https://www.hospitalempagnon.ma,,,"Boulevard Pagnon, Meknès 50000, Maroc",gov,42,30.0
Moulay Ismail,Meknès (Mun.),Meknes,Fès-Meknès,HP,1000.0,+212 53 922 22 22,,,,,"Route de Fès, Meknès 50000, Maroc",gov,43,30.0
Centre d'oncologie,Meknès (Mun.),Meknes,Fès-Meknès,CRO,150.0,+212 53 925 111,centre.oncologie.meknes@hopitaux.gov.ma,https://www.hopitaux.gov.ma/fr/centre-oncologie-meknes,,,"Boulevard Mohammed VI, Meknès 50000, Maroc",gov,44,30.0
Marche Verte,Missour (Mun.),Boulemane,Fès-Meknès,HP,250.0,+212 5 24 83 23 11,marcheverte.hopital@maroc.ma,https://marcheverte.hopital.ma,,,"Route de la Marche Verte, Missour (Mun.), Maroc",gov,45,31.0
S. Ahmed B. Driss Missouri,Outat El Haj (Mun.),Boulemane,Fès-Meknès,HPr,200.0,+212 5 24 83 31 31,,,,,"Route de Marrakech, Outat El Haj, Maroc",gov,46,32.0
Prince My Hassan,El Hajeb (Mun.),El Hajeb,Fès-Meknès,HP,200.0,+212 66 98 23 456,prince.my.hassan@hopital.ma,https://hopitalprincemyhassan.ma,,,"Route de Meknès, El Hajeb, Maroc",gov,47,33.0
Al Ghassani,Agdal (Arrond.),Fes,Fès-Meknès,HR,500.0,+212 537 77 77 77,info@alghassani.ma,https://www.alghassani.ma,,,"Rue Al Ghassani, Agdal, Rabat, Maroc",gov,48,34.0
Ibn Al Baitar,Agdal (Arrond.),Fes,Fès-Meknès,HR,32.0,0537 77 17 17,,,,,"Boulevard Ibn Sina, Agdal, Rabat 10050, Maroc",gov,49,34.0
Hôpital d'Oncologie,Saiss (Arrond.),Fes,Fès-Meknès,HIR,200.0,+212 35 92 23 34,hopital.oncologie@fes.ma,https://hopitaloncologie.ma,,,"Boulevard Mohammed VI, 15000 Saïss, Fès, Maroc",gov,50,35.0
Hôpital des spécialités,Saiss (Arrond.),Fes,Fès-Meknès,HIR,600.0,+212 5 35 77 00 00,,,,,"Route de Meknès, 52000 Saïss, Maroc",gov,51,35.0
Hôpital Mère-Enfant,Saiss (Arrond.),Fes,Fès-Meknès,HIR,300.0,+212 5 35 66 00 00,,,,,"Route de Meknès, 52000 Saïss, Maroc",gov,52,35.0
Omar Drissi,Fès-Médina (Arrond.),Fes,Fès-Meknès,HIR,250.0,+212 35 937 333,omardrissi@hopitalmarocain.ma,https://www.hopitalomardrissi.ma,,,"Boulevard Mohammed V, Fès, Maroc",gov,53,36.0
Ibn Al Khatib,El Mariniyine (Arrond.),Fes,Fès-Meknès,HR,150.0,+212 6 93 83 33 33,,,,,"El Mariniyine, Maroc",gov,54,37.0
Ibn Al Hassan,El Mariniyine (Arrond.),Fes,Fès-Meknès,CPU,250.0,+212 6 61 12 34 56,ibn.al.hassan@hopitaux-marocains.ma,https://www.hopitalibnalhassan.ma,,,"Route de l'hôpital, El Mariniyine, Maroc",gov,55,37.0
20 Aout (Azrou),Azrou (Mun.),Ifrane,Fès-Meknès,HP,300.0,+212 535 785 111,,,,,"Route de Fès, Azrou, Maroc",gov,56,38.0
Mohamed V,Sefrou (Mun.),Sefrou,Fès-Meknès,HP,300.0,+212 5 37 83 33 33,,,,,"Route de Fes, Sefrou, Maroc",gov,57,39.0
Hassan II,Ghafsai (Mun.),Taounate,Fès-Meknès,HPr,200.0,+212 66 88 23 456,,,,,"Route de Ghafsai, Ghafsai, Province de Taza, Maroc",gov,58,40.0
Taounate,Taounate (Mun.),Taounate,Fès-Meknès,HP,250.0,0535 58 21 21,,,,,"Route de Meknès, Taounate, Maroc",gov,59,41.0
Ibn Baja,Taza (Mun.),Taza,Fès-Meknès,HP,500.0,+212 35 53 23 23,,,,,"Route de Fès, 1, Taza",gov,60,42.0
Al Idrissi,Kénitra (Mun.),Kenitra,Rabat-Salé-Kénitra,HP,500.0,+212 5 43 63 33 33,,,,,"Route de Sidi Kacem, Kénitra",gov,61,43.0
Zoubir Skirej,Souk El Arbaa (Mun.),Kenitra,Rabat-Salé-Kénitra,HPr,150.0,+212 5 43 88 11 11,,,,,"Route de Tizi Ouzou, Souk El Arbaa (Mun.), Maroc",gov,62,44.0
Khémisset,Khémisset (Mun.),Khémisset,Rabat-Salé-Kénitra,HP,300.0,+212 5 73 73 73 73,,,,,"Route de Meknès, Khemisset, Maroc",gov,63,45.0
Roummani,Rommani (Mun.),Khémisset,Rabat-Salé-Kénitra,HPr,150.0,0525 83 23 45,roummani.hopital@gmail.com,https://www.hopital-roummani.ma,,,"Route de Marrakech, Rommani, Maroc",gov,64,46.0
Tiflet,Tiflet (Mun.),Khémisset,Rabat-Salé-Kénitra,HPr,500.0,+212 5 27 21 21 21,,,,,"Route de Tiflet, Tiflet, 40100, Maroc",gov,65,47.0
Ibn Sina,Agdal Riyad (Arrond.),Rabat,Rabat-Salé-Kénitra,HIR,500.0,+212 537 76 31 31,,,,,"Rue Ibn Sina, Agdal Riyad, Rabat",gov,66,48.0
Hôpital Des Spécialités,Agdal Riyad (Arrond.),Rabat,Rabat-Salé-Kénitra,HIR,500.0,+212 537 75 75 75,,,,,"Boulevard de l'Académie, Agdal, Rabat 10050, Maroc",gov,67,48.0
Maternité Souissi,Agdal Riyad (Arrond.),Rabat,Rabat-Salé-Kénitra,HIR,600.0,0537 63 31 31,,,,,"Rue Ibn Sina, Agdal, Rabat 10000, Maroc",gov,68,48.0
Hôpital D'enfants,Agdal Riyad (Arrond.),Rabat,Rabat-Salé-Kénitra,HIR,200.0,+212 524 38 31 31,hpedenfants@hopital.ma,https://www.hopital.ma/hpedenfants,,,"Boulevard de l'Académie, Agdal Riyad, Marrakech",gov,69,48.0
Maternité Orangers,Agdal Riyad (Arrond.),Rabat,Rabat-Salé-Kénitra,HIR,150.0,+212 5 22 79 11 11,materniteorangers@gmail.com,https://www.materniteorangers.ma,,,"Rue de l'Hôpital, Agdal Riyad, Maroc",gov,70,48.0
Med Ben Abdellah,Agdal Riyad (Arrond.),Rabat,Rabat-Salé-Kénitra,HIR,1000.0,+212 537 73 31 31,,,,,"Boulevard de l'Académie, 10000 Rabat, Maroc",gov,71,48.0
My Youssef,Hassan (Arrond.),Rabat,Rabat-Salé-Kénitra,HIR,250.0,+212 5 35 83 34 56,myyoussef.hassan@hopitaux.ma,https://www.my-youssef-hassan.ma,,,"Boulevard Hassan II, Hassan, Maroc",gov,72,49.0
Moulay Youssef (Ancien hôpital de Rabat),Hassan (Arrond.),Rabat,Rabat-Salé-Kénitra,HR,1000.0,+212 5 37 63 31 31,,,,,"B.P. 14000, Hassan, Maroc",gov,73,49.0
El Ayachi,Bab Lamrissa (Arrond.),Salé,Rabat-Salé-Kénitra,HIR,300.0,+212 537 73 31 31,,,,,"Bab Lamrissa, Rabat, Maroc",gov,74,50.0
Moulay Abdellah (Hôp.préféctoral),Hssaine (Arrond.),Salé,Rabat-Salé-Kénitra,HP,500.0,+212 6 61 61 61 61,hpmoulayabdellah@minss.gov.ma,https://www.minss.gov.ma/fr/hopitaux/moulay-abdellah,,,"Hôpital Moulay Abdellah, Hssaine, Arrondissement de Hssaine",gov,75,51.0
Arrazi,Tabriquet (Arrond.),Salé,Rabat-Salé-Kénitra,CPU,250.0,+212 5 48 83 14 14,hospitalelarrazi@gmail.com,https://www.hospitalelarrazi.ma,,,"Route de Tabriquet, 24000 Tabriquet, Maroc",gov,76,52.0
Jorf Elmelha,Jorf El Melha (Mun.),Sidi Kacem,Rabat-Salé-Kénitra,HPr,200.0,+212 523 53 33 33,,,,,"Route de Safi, 86000 Jorf El Melha, Maroc",gov,77,53.0
Sidi Kacem,Sidi Kacem (Mun.),Sidi Kacem,Rabat-Salé-Kénitra,HP,400.0,+212 52 85 22 00,hospitalsec@hospitalsidi-kacem.ma,https://hospitalsidi-kacem.ma,,,"Route de Meknès, Sidi Kacem 16300, Maroc",gov,78,54.0
Sidi Slimane,Sidi Slimane (Mun.),Sidi Slimane,Rabat-Salé-Kénitra,HP,250.0,0525 53 53 53,hospitalsidislimane@gmail.com,https://www.hospitalsidislimane.ma,,,"Route de Rabat, Sidi Slimane, Maroc",gov,79,55.0
Princesse Lalla Aicha (Ancien Sidi Lahcen),Témara (Mun.),Skhirate-Temara,Rabat-Salé-Kénitra,HP,300.0,+212 5 37 71 11 11,,,,,"Route de Rabat, Témara, Maroc",gov,80,56.0
Haut Atlas Central,Azilal (Mun.),Azilal,Béni Mellal-Khénifra,HP,300.0,+212 48 98 24 24,,,,,"Route de Marrakech, Azilal, Maroc",gov,81,57.0
Demnate,Demnate (Mun.),Azilal,Béni Mellal-Khénifra,HPr,150.0,+212 24 88 23 456,hpdemenate@minss.gov.ma,,,,"Route de Marrakech, Demnate, Marrakech-Safi, Maroc",gov,82,58.0
Beni Mellal,Béni Mellal (Mun.),Beni Mellal,Béni Mellal-Khénifra,HR,300.0,+212 48 83 23 34,hpbm@minss.gov.ma,https://www.minss.gov.ma/fr/hopitaux/hopital-beni-mellal,,,"Route de Marrakech, Béni Mellal 23000, Maroc",gov,83,59.0
Moulay Ismail,Kasba Tadla (Mun.),Beni Mellal,Béni Mellal-Khénifra,HPr,500.0,+212 66 84 23 456,,,,,"Route de Meknès, Kasba Tadla, Morocco",gov,84,60.0
Beni Mellal,Ouled M'Barek,Beni Mellal,Béni Mellal-Khénifra,CRO,500.0,0525 83 23 11,hpbm@hopitaux.gov.ma,https://www.hpbm.ma,,,"Ouled M'Barek, Beni Mellal, Maroc",gov,85,61.0
Fquih Ben Salah,Fquih Ben Salah (Mun.),Fkih Ben Saleh,Béni Mellal-Khénifra,HP,200.0,+212 24 98 23 34,,,,,"Route de Marrakech, Fquih Ben Salah, Marrakech-Safi",gov,86,62.0
Souk Sebt,Fquih Ben Salah (Mun.),Fkih Ben Saleh,Béni Mellal-Khénifra,HPr,150.0,+212 5 35 62 23 45,souksebt.hopital@fquihbensalah.ma,https://souksebt.hopital.ma,,,"Route de Marrakech, Fquih Ben Salah, Maroc",gov,87,62.0
Khenifra,Khenifra (Mun.),Khenifra,Béni Mellal-Khénifra,HP,400.0,+212 48 83 22 33,,,,,"Route de Meknès, Khenifra 57400, Maroc",gov,88,63.0
M'Rirt,M'Rirt (Mun.),Khenifra,Béni Mellal-Khénifra,HPr,150.0,+212 524 48 22 22,,,,,"Route de Marrakech, M'Rirt, Marrakech-Safi",gov,89,64.0
Mohamed VI,Bejaad (Mun.),Khouribga,Béni Mellal-Khénifra,HPr,500.0,+212 5 38 83 23 45,,,,,"Route de Bejaad, 24000 Bejaad, Maroc",gov,90,65.0
Hassan II,Khouribga (Mun.),Khouribga,Béni Mellal-Khénifra,HP,300.0,+212 48 83 23 45,,,,,"Route de Marrakech, 26000 Khouribga, Maroc",gov,91,66.0
Oued.Zem,Oued Zem (Mun.),Khouribga,Béni Mellal-Khénifra,HPr,300.0,+212 5 35 63 23 00,,,,,"Route de Sidi Slimane, 14000 Oued Zem, Maroc",gov,92,67.0
Benslimane (Hassan II),Benslimane (Mun.),Benslimane,Casablanca-Settat,HP,300.0,0525 53 12 00,,,,,"Route de Casablanca, Benslimane",gov,93,68.0
Berrchid,Berrechid (Mun.),Berrechid,Casablanca-Settat,HP,250.0,0523 93 23 34,,,,,"Route de Casablanca, 22200 Berrechid, Maroc",gov,94,69.0
Errazi,Berrechid (Mun.),Berrechid,Casablanca-Settat,HPsyP,150.0,+212 24 98 23 34,info@hosperrazi.ma,https://www.hosperrazi.ma,,,"Route de Casablanca, Berrechid, Maroc",gov,95,69.0
Azemmour,Azemmour (Mun.),El Jadida,Casablanca-Settat,HPr,150.0,+212 23 23 23 23,azemmour.hopital@maroc.ma,https://www.hopital-azemmour.ma,,,"Route de l'hôpital, 36220 Azemmour, Maroc",gov,96,70.0
Mohamed V,El Jadida (Mun.),El Jadida,Casablanca-Settat,HP,500.0,+212 24 43 23 11,hpmv@minss.gov.ma,https://www.minss.gov.ma,,,"Route de l'hôpital, 24000 El Jadida, Maroc",gov,97,71.0
Mediouna,Mediouna (Mun.),Mediouna,Casablanca-Settat,HP,200.0,+212 524 53 23 23,,,,,"Route de Safi, 44150 Médouina, Maroc",gov,98,72.0
Tit Mellil,Sidi Hajjaj Oued Hassar,Mediouna,Casablanca-Settat,HPsyP,250.0,+212 23 93 12 34,titmellil@hopitaux.gov.ma,https://www.hopitaux.gov.ma/tit-mellil,,,"Route de Sidi Hajjaj, 20620 Sidi Hajjaj, Maroc",gov,99,73.0
My Abdellah,Mohammadia (Mun.),Mohammedia,Casablanca-Settat,HP,500.0,+212 5 37 63 14 00,myabdellah@hopital.ma,https://www.hopitalmyabdellah.ma,,,"Rue de la Liberté, Mohammadia, Maroc",gov,100,74.0
Bouskoura,Bouskoura (Mun.),Nouaceur,Casablanca-Settat,HPr,200.0,022 23 23 23,hospitalebouskoura@gmail.com,https://www.hospitalebouskoura.ma,,,"Route de Casablanca, Bouskoura, Casablanca-Settat, Maroc",gov,101,75.0
Prince My Hassan,Dar Bouazza (Mun.),Nouaceur,Casablanca-Settat,HP,300.0,022 43 22 00,,,,,"Route de Casablanca, Dar Bouazza, Casablanca-Settat, Maroc",gov,102,76.0
Ben Ahmed,Ben Ahmed (Mun.),Settat,Casablanca-Settat,HPr,250.0,+212 5 43 64 54 12,info@benhamedhosp.com,https://www.benhamedhosp.com,,,"Rue Ben Ahmed, Ben Ahmed (Mun.), Maroc",gov,103,77.0
Hassan II,Settat (Mun.),Settat,Casablanca-Settat,HP,500.0,+212 5 77 73 33 33,,https://www.hopitalhassan2.ma/,,,"Route de l'Université, 26000 Settat, Maroc",gov,104,78.0
Sidi Bennour,Sidi Bennour (Mun.),Sidi Bennour,Casablanca-Settat,HP,250.0,+212 24 98 23 456,hopital.sidi.bennour@maroc.mg,https://hopital-sidi-bennour.ma,,,"Route de Sidi Bennour, 48000 Sidi Bennour, Maroc",gov,105,79.0
Zmamra,Zemamra (Mun.),Sidi Bennour,Casablanca-Settat,HPr,500.0,+212 22 43 44 55,zmamra.hopital@maroc.ma,https://www.hopital-zmamra.ma,,,"Route de Casablanca, 27100 Zemamra, Maroc",gov,106,80.0
20 Aout 1953,El Maarif (Arrond.),Casablanca Anfa,Casablanca-Settat,HIR,500.0,+212 23 823 111,h20aout1953@minss.gov.ma,https://www.hopital20aout1953.ma,,,"Boulevard Mohammed VI, 20000 El Jadida, Maroc",gov,107,81.0
Ibn Rochd,El Maarif (Arrond.),Casablanca Anfa,Casablanca-Settat,HIR,500.0,+212 5 22 28 28 28,info@hospitalibnrochd.ma,https://www.hospitalibnrochd.ma,,,"Boulevard Ibn Rochd, El Maarif, Casablanca",gov,108,81.0
Hôpital D'enfants,El Maarif (Arrond.),Casablanca Anfa,Casablanca-Settat,HIR,200.0,+212 5 22 33 44 55,hpedc@hopitaux-marocains.ma,https://www.hopitaux-marocains.ma/hpedc,,,"Boulevard Mohammed VI, El Maarif, Casablanca, Maroc",gov,109,81.0
My Youssef,Sidi Belyout (Arrond.),Casablanca Anfa,Casablanca-Settat,HR,250.0,+212 5 22 23 34 56,myyoussef.hopital@gmail.com,https://www.my-youssef-hopital.ma,,,"Boulevard Mohammed V, Sidi Belyout, Casablanca, Maroc",gov,110,82.0
Mohamed Baouafi,Al-Fida (Arrond.),Al Fida-Mers Sultan,Casablanca-Settat,HP,150.0,0525 83 23 45,mohamed.baouafi@hopital-al-fida.ma,https://www.hopital-al-fida.ma,,,"Route de Marrakech, Al-Fida, Maroc",gov,111,83.0
Mohamed V,Hay Mohammadi (Arrond.),Aïn Sebaâ-Hay Mohammadi,Casablanca-Settat,HP,500.0,+212 44 38 51 51,,,,,"Boulevard Mohammed V, Hay Mohammadi, Marrakech, Maroc",gov,112,84.0
El Hassani,Hay-Hassani (Arrond.),Hay Hassani,Casablanca-Settat,HP,500.0,+212 5 22 33 44 55,elhassani.hospital@maroc.com,https://elhassanihospital.ma,,,"Rue El Hassani, Hay Hassani, Casablanca, Maroc",gov,113,85.0
Centre de Léprologie,Aîn-Chock (Arrond.),Aïn Chok,Casablanca-Settat,HP,150.0,+212 5 22 33 44 55,,,,,"Route de Casablanca, Aïn Chock, Casablanca, Maroc",gov,114,86.0
Mohamed Sekkat,Aîn-Chock (Arrond.),Aïn Chok,Casablanca-Settat,HP,500.0,022 23 23 23,,,,,"Route de Casablanca, Aïn Chock, Casablanca-Settat, Maroc",gov,115,86.0
Al Mansour,Sidi Bernoussi (Arrond.),Sidi Bernoussi,Casablanca-Settat,HP,500.0,0522 43 43 43,info@almansourhospital.ma,https://www.almansourhospital.ma,,,"Rue Sidi Bernoussi, Sidi Bernoussi, Casablanca",gov,116,87.0
HPr Sidi Moumen,Sidi Moumen (Arrond.),Sidi Bernoussi,Casablanca-Settat,HPr,500.0,0522 23 23 23,hpsidimoumen@hopitaux.gov.ma,https://www.hopitaux.gov.ma/hopitaux/hpr-sidi-moumen,,,"Route de Casablanca, Sidi Moumen, Casablanca-Settat, Maroc",gov,117,88.0
Ben Msick,Ben M'Sick (Arrond.),Ben Msick,Casablanca-Settat,HP,500.0,+212 5 28 83 14 14,,,,,"Route de l'hôpital, 20620 Ben M'Sick (Arrond.), Maroc",gov,118,89.0
Sidi Othmane,Sidi Othmane (Arrond.),Moulay Rachid,Casablanca-Settat,HP,180.0,,,,,,"Sidi Othmane, Sidi Othmane (Arrond.), Maroc",gov,119,90.0
Mohammed VI,Tahannaout (Mun.),Al Haouz,Marrakech-Safi,HP,250.0,0525 58 22 22,,,,,"Route de Tahannaout, 42500 Tahannaout, Maroc",gov,120,91.0
Mohamed Vi,Chichaoua (Mun.),Chichaoua,Marrakech-Safi,HP,150.0,0524 47 22 22,,,,,"Route de Marrakech, Chichaoua, Marrakech-Safi",gov,121,92.0
Assalama,El Kelaâ des Sraghna (Mun.),El Kelaa Des Sraghna,Marrakech-Safi,HP,150.0,0524 48 23 11,,,,,"Route de Marrakech, El Kelaâ des Sraghna, Maroc",gov,122,93.0
Hôpital psychiatrique,El Kelaâ des Sraghna (Mun.),El Kelaa Des Sraghna,Marrakech-Safi,HPsyP,200.0,+212 24 88 23 456,,,,,"Route de Marrakech, El Kelaâ des Sraghna, Marrakech-Safi, Maroc",gov,123,93.0
Princesse Lalla Khadija,Tamallalt (Mun.),El Kelaa Des Sraghna,Marrakech-Safi,HPr,150.0,+212 5 28 83 23 45,princesse.lalla.khadija@hopitaux-marocains.ma,https://hopitaux-marocains.ma/princesse-lalla-khadija,,,"Route de Tamallalt, Tamallalt, Maroc",gov,124,94.0
