name,category,activity,address,city,phone,responsible_pharmacist,id
ACTILAB SARL,Dispositif Médical,"Fabrication Importation, Distribution, DM steriles DM non steriles",1BIS RUE TOBROUK HASSAN RABAT,,,,16
ADVANCED MEDICAL SERVICES SARL,Dispositif Médical,"Importation, Exportation, Distribution, Maintenance, DM non steriles",15 RUE AIN CHIFAA QU BOURGOGNE CASABLANCA,,,,17
AETHER MAROC,Dispositif Médical,"Importation, Distribution,",43 SALOMA 1 AIN SEBAA CASABLANCA,,,,18
AFNORMED,Dispositif Médical,"Importation, Distribution, Maintenance, DM non steriles",AMAL 1 N 336 TIT MILLIL CASABLANCA,,,,19
AFRI 5 SARL,Dispositif Médical,"Importation, DM non steriles",MAGASIEN 2 IMMEUBLE 10 BELLE VUE 3 MEKNES,,,,20
AFRIC MED INSTRUMENTS,Dispositif Médical,"Importation, Exportation, Distribution, Maintenance, DM steriles DM non steriles",RUE SOUMAYA RESIDENCE SHEHRAZADE 3 ETAGE 5 N 22 PALMIER CASANLANCA,,,,21
AFRICA INTERNET HOLDING,Dispositif Médical,"Importation, Distribution, DM steriles",COMPLEX ERAC N 29 MED VI IMMEUBLE F3 N 2 ETAGE 1 CASABLANCA,,,,22
AFRICAINE GATE,Dispositif Médical,"Importation, Distribution, DM steriles DM non steriles",RESIDENCE EL BARAKA GH1 APPARTEMENT N09 ADRAR TIKIOUNE AGADIR,,,,23
AFRICAMEDICAL SARL AU,Dispositif Médical,"Importation, Exportation, Distribution, Maintenance, DM steriles DM non steriles",12 RUE SABRI BOUJEMAA 1ER ETAGE CASABLANCA,,,,24
AFRICARE,Dispositif Médical,"Importation, Exportation, Distribution, DM steriles DM non steriles",11 BOULEVARD ZEKTOUNI APPARTEMENT N 11 4EME ?TAGE CASABLANCA,,,,25
AFRIC-PHAR,Dispositif Médical,"Fabrication Importation, Exportation, Distribution, Maintenance, DM steriles DM non steriles",ZONE INDUSTRIELLE OUEST AIN HARROUDA ROUTE REGIONALE N322 KM 12.400 AIN HARROUDA 28630 MOHAMMEDIA MAROC,,,,26
AFROBIOMEDIC,Dispositif Médical,"Importation, Exportation, Distribution, Maintenance, DM steriles DM non steriles",RUE 82 N?94 SIDI MARROUF CASABLANCA,,,,27
AGENTIS,Dispositif Médical,"Importation, Exportation, Distribution, Maintenance, DM steriles DM non steriles",29 RUE ZAID IBNOU REFAA 1ER ETAGE MARIF CASABLANCA,,,,28
AGROLEAD,Dispositif Médical,"Importation, Exportation,",BOULEVARD MEHDI BEN BERKA.LOTISSEMENT EL ALEJ RUE 4 N 3 BOURGOGNE CASABLANCA,,,,29
AIR LIQUIDE MAROC,Dispositif Médical,"Importation, Exportation, Distribution, Maintenance, DM non steriles",IMMEBLE MYRIAM ANGLE AUTOROUTE CASABLANCA RABAT ET ROUTE DE TIT MELLIL,,,,30
AIR MEDICAL,Dispositif Médical,"Importation, Distribution, DM steriles DM non steriles",25 RUE 300 HAY MLY ABDELLAH AIN CHOCK CASABLANCA,,,,31
AIRLIFE SARL AU,Dispositif Médical,"Fabrication Importation, Exportation, Distribution, Maintenance, DM non steriles",N 16 RUE 3 ET 4 MAZOLA HAY HASSANI CASABLANCA,,,,32
ALABO SARL AU,Dispositif Médical,"Importation, Distribution, DM steriles DM non steriles",7 RUE SAYAD EDDINE RESIDENCE NOURWAY2 N 2 BOURGAGNE,,,,33
ALAMEDIC,Dispositif Médical,"Importation, Distribution, DM steriles DM non steriles",39 HAY ERRAHA BEAUSEJOUR,,,,34
ALAMI PHARMA SARL AU,Dispositif Médical,"Importation, DM non steriles",17 RUE BAHT APPARTEMENT N 5 AGDAL-RABAT,,,,35
ALCON MAROC,Dispositif Médical,"Importation, Distribution, Maintenance, DM steriles DM non steriles",TOUR CRYSTAL I BOULEVARD SIDI MOHAMED BEN ABDELLAH 7EME ETAGE PLATEAU 11 QUARTIER MARINA 20030 CASABLANCA,,,,36
ALGOL MEDICAL,Dispositif Médical,"Importation, Exportation, Distribution, DM steriles DM non steriles",295.ANGLE BD ABDELMOUMEN ET RUE PERCEE CASABLANCA,,,,37
ALLIANCE ENVIRONNEMENT,Dispositif Médical,"Fabrication Importation, Exportation, Distribution,",2 RUE BOUGAINVILLE RESIDENCE TURPIN RDC BOURGOGNE CASABLANCA,,,,38
ALMED SANTE,Dispositif Médical,"Distribution, DM steriles DM non steriles",N 309 LOTISSEMENT HADJ FATEH HAY OULEFA CASABLANCA,,,,39
ALPHA PHAR,Dispositif Médical,"Importation, Exportation, Distribution, DM steriles DM non steriles",VILLA 390 NASSIM CASABLANCA,,,,40
ALTHEA SA,Dispositif Médical,"Importation, Distribution, DM steriles DM non steriles",76.ALLEE DES CASUARINAS AIN SEBAA 20 580 CASABLANCA,,,,41
AMED DENTAL SARL AU,Dispositif Médical,"Importation, Distribution, Maintenance, DM steriles DM non steriles",47 RUE DE BRUXELLES IMMEUBLE A MAG 9 MARS SULTAN 20300 CASABLANCA,,,,42
AMIF SARL AU,Dispositif Médical,"Fabrication Importation, Exportation, Distribution, Maintenance, DM steriles DM non steriles",LOTISSEMENT 1234 QUARTIER EL WIFAK TEMARA,,,,43
AMIPARA,Dispositif Médical,"Distribution, DM steriles DM non steriles",MAGASIEN RDC N 28 R?SIDENCE AL AKHAWAYN .SOCOMA 1 MARRAKECH,,,,44
AMIYAD IMPLANTS SARL,Dispositif Médical,"Distribution, DM non steriles",46.AVENUE OKBA APPARTEMENT 2 AGDAL RABAT,,,,45
AMOUCH DENT SARL AU,Dispositif Médical,"Distribution, DM steriles DM non steriles",AVENUE JEBER BNE HAYAN BLOC A N 513 ELHOUDA AGADIR,,,,46
AMOUDENT SARL,Dispositif Médical,"Importation, Distribution, Maintenance, DM steriles DM non steriles",RESIDENCE JARDINS DE LA VILLETTE RUE MORMOUCHA IMMEUBLE D APPARTEMENT 12 CASABLANCA,,,,47
ARDCHIR NABIL,Dispositif Médical,"Distribution, DM non steriles",N 26 TRANCHE 3 DAR AL BIR WALI HSANE MARRAKECH,,,,48
ASSIHA SARL,Dispositif Médical,"Importation, Distribution, DM steriles DM non steriles",514 .AVENUE 2 MARS ANDALOUS 2 CASABLANCA,,,,49
ASSISTANCE MEDICALE ET DENTAIRE (AMED) SARL,Dispositif Médical,"Importation, Exportation, Distribution, Maintenance, DM steriles DM non steriles",BOULEVARD YACOUB EL MANSOUR RUE BATA GUELIZ MARRAKECH,,,,50
"AFRIC MED Distribution,",Grossiste Pharmaceutique,Répartition Pharmaceutique,"AVENUE ALLAL AL FASSI,MADINAT AL IRFANE,HAY RIAD 10000",RABAT,05.37.27.25.00,MME MARIA FARAJ,51
BUMAGECO,Grossiste Pharmaceutique,Répartition Pharmaceutique,LOT 6 RUE D' IFNI Imm Adil,TANGER,05.39.94.66.87 05.39.94.66.88,M. AMINE AYOUB,52
COOPER BENISNASSEN,Grossiste Pharmaceutique,Répartition Pharmaceutique,12 RUE DE CAIRE HAY EL WAHDA,BERKANE,05.36.23.10.40,M. ISSAM RAHMOUNI,53
COOPER PHARMA REPARTITION,Grossiste Pharmaceutique,Répartition Pharmaceutique,"LOT 5, LOTISSEMENT ALAMIA SIDI MOUMEN",CASABLANCA,05.22.45.32.01,MME BOUJANAH NABILA,54
COOPER CHAOUIA,Grossiste Pharmaceutique,Répartition Pharmaceutique,ZONE INDUSTRIELLE AMAL LOT 35,KHOURIBGA,05.23.58.06.93/94/95,M. EL MEHDI BELFAKIR,55
COOPER TENSIFT,Grossiste Pharmaceutique,Répartition Pharmaceutique,LOT N°382 QUARTIER INDUSTRIELSIDI GHANEM,MARRAKECH,05.24.33.87.20,MME MOUNIA BOUKILI MKHOUKHI,56
C.P.M.,Grossiste Pharmaceutique,Répartition Pharmaceutique,"108, BD ABDELLAH BEN YASSINE",CASABLANCA,05.22.30.92.91,M. MOHAMMED JANAH,57
COPHAG,Grossiste Pharmaceutique,Répartition Pharmaceutique,RTE DE TIZNITIMM SEDIK B.P. 125 AIT MELLOUL,AGADIR,05.28.24.00.60 05.28.24.08.24,M. OMAR ZNIBER,58
COPHADIS,Grossiste Pharmaceutique,Répartition Pharmaceutique,"Lot Al Wahda,Avenue habbouha ,ould Laabid,Immeuble Laayoune",LAAYOUNE,05.28.89.12.22,MME SANAA AMINE BILLAH,59
C.P.R.E,Grossiste Pharmaceutique,Répartition Pharmaceutique,QUARTIER SIDI BRAHIM RUE DE Fabrication N°808,FES,05.35.73.55.55,M. CHARIF MOURAHI,60
DISTRIPHAK 2ème dépôt,Grossiste Pharmaceutique,Répartition Pharmaceutique,LOTISSEMENT DCC EL HAOUZIA,KENITRA,05.37.32.77.66,MME NATALIA GORBOUNOVA,61
DISTRIPHAK saknia,Grossiste Pharmaceutique,Répartition Pharmaceutique,"LA ZONE D’ACTIVITE SAKNIA, LOT N°104(siège social )",KENITRA,05.37.38.37,MME EL JADIDI BOUTAINA,62
DISMEDIC,Grossiste Pharmaceutique,Répartition Pharmaceutique,LOT BACHKOU RUE N°7 LOT 10,CASABLANCA,05.22.81.90.20,MME ZINEB BENJELLOUN TOUIMI,63
DISPHAT,Grossiste Pharmaceutique,Répartition Pharmaceutique,LOT 112-113-114 B.P. 1235,TAZA,05.35.21.25.49/50,M. MOMAMED BENSOUDA,64
DIPHARM,Grossiste Pharmaceutique,Répartition Pharmaceutique,6 RUE SOCRATE IMM SOCRATE,CASABLANCA,05.22.99.95.00,M. RACHID AZOUAZ,65
DISPHANAD,Grossiste Pharmaceutique,Répartition Pharmaceutique,ZONE INDUSTRIELLE DE SELOUANE,SELOUANE,05.36.60.90.05,M. DENDANE MOHAMED,66
Gdis,Grossiste Pharmaceutique,Répartition Pharmaceutique,ZONE INDUSTRIELLE TASSILA n°176 DCHIRA,AGADIR,05.28.32.96.96 05.28.32.66.96,MME NISRINE FOUAD,67
GIPHAR,Grossiste Pharmaceutique,Répartition Pharmaceutique,5 RTE DE LA CONTINENENTALE,CASABLANCA,05.22.67.97.30 05.22.67.97.31,MME FADWA JEGOURA,68
G.P.M,Grossiste Pharmaceutique,Répartition Pharmaceutique,RUE IBNOU KATIR N°5 MAARIF,CASABLANCA,05.22.77.88.00,MME LAMIA EL GHASSAL,69
G.P.F,Grossiste Pharmaceutique,Répartition Pharmaceutique,"26, RUE DE D’ARABIE SAOUDITE",FES,05.35.94.48.36 05.35.94.48.37,M AKRAM ASBAGHI,70
GLOBALDIS,Grossiste Pharmaceutique,Répartition Pharmaceutique,BD ABDELKRIM EL KHATTABI RTE DE SAFI ET RTE DE CASABLANCA,MARRAKECH,05.24.42.18.70,M. BAYOUMI KHALIL,71
KENIPHARMA,Grossiste Pharmaceutique,Répartition Pharmaceutique,"N°8, RUE SAAD ZAGHLOUL, RESIDENCE MOULAY SLIMANE, LA VILLE HAUTE",KENITRA,05.37.36.36.56 05.37.37.61.47,MME EL JADIDI BOUTAINA MERIEM,72
LODIMED,Grossiste Pharmaceutique,Répartition Pharmaceutique,422-423 ZONE INDUSRIELLE SIDI GHANEM,MARRAKECH,05.24.33.83.00,MME SAYAGH SANAE,73
MAREPHA,Grossiste Pharmaceutique,Répartition Pharmaceutique,82 ZONE IND SUD OUEST,MOHAMMEDIA,05.23.32.90.60,M. Rachid EL IDRISSI BENHIBA,74
MEDEXPERT,Grossiste Pharmaceutique,Répartition Pharmaceutique,131 BD IBN AL HAYTAM ZI TASSILA DCHIRA AGADIR,AGADIR,05.28.32.97.97,M. ASSELLAOUI JAOUAD,75
MEDIREP,Grossiste Pharmaceutique,Répartition Pharmaceutique,LOT E 43Z.I. TASSILLA DCHEIRA EL JIHADIA,AGADIR,05.28.33.34.44,M. MOUNIR ETISSIR,76
MD5,Grossiste Pharmaceutique,Répartition Pharmaceutique,21 RUE DES ASPHODELES MAARIF,CASABLANCA,05.20.15.03.00,MME SANAE SAGHIR,77
MEDICOL,Grossiste Pharmaceutique,Répartition Pharmaceutique,PLACE AL HAMAMA AV HASSAN II,TETOUAN,05.39.96.00.96,MME LAILA MOULAT,78
ORIENTAL MEDICA,Grossiste Pharmaceutique,Répartition Pharmaceutique,299 BD DERFOUFI,OUJDA,05.36.68.78.94,M. AHANDOUR TAOUFIK,79
O.R.P,Grossiste Pharmaceutique,Répartition Pharmaceutique,HAY RAHMA RUE LAAYHOUNE LOT 1374 ZONE D ACTVITE TABRIQUET,SALE,05.37.86.99.00,MME SELMA LAHKIM BENNANI,80
PHARMACOOP,Grossiste Pharmaceutique,Répartition Pharmaceutique,N°12 QL QUARTIER INDUSTRIL TAKADOUM,RABAT,05.37.63.32.81,MME ALAOUI LALLA AMINA,81
PHARMA EST,Grossiste Pharmaceutique,Répartition Pharmaceutique,"N°112 BIS, ZONE INDUSTRIELLE.",OUJDA,05.36.68.68.67,M. JAMAL TEKNI,82
PHARMAMEC,Grossiste Pharmaceutique,Répartition Pharmaceutique,ZONE INDUSTRIELLE BASSATINE,MEKNES,05.35.50.45.55 05.35.50.05.77 05.35.50.50.40,MME BADDOU RIM,83
PHARMANORD,Grossiste Pharmaceutique,Répartition Pharmaceutique,"43, BIS RUE AHMED CHAOUKI",TANGER,05.39.33.38.38,MME ZAKARIA ZAHHAR,84
PHARMASMIR,Grossiste Pharmaceutique,Répartition Pharmaceutique,AIN KHABAZ RUE SEBOU B.P.769,TETOUAN,05.39.71.14.55,MME MOUNIA MEDOUAR,85
REPHAL,Grossiste Pharmaceutique,Répartition Pharmaceutique,ZONE D’ACTIVITE HOSTALE LOT 34 B.P. 616,LARACHE,05.39.52.04.01,M. SALEK SAAD,86
RECAMED,Grossiste Pharmaceutique,Répartition Pharmaceutique,LOT N°1 LOT ALAMIA COMMUNE SIDI MOUMENE,CASABLANCA,05.22.76.87.87,MME YOUSRA MAAFI,87
REPHAK,Grossiste Pharmaceutique,Répartition Pharmaceutique,ZONE INDUSTRIELLE BIR RAMI EST 14000,KENITRA,05.37.33.70.80,M. ATMANI REDDOUAN,88
REPHAR,Grossiste Pharmaceutique,Répartition Pharmaceutique,1 BIS RUE RIBAT EL KHEIR VILLE NOUVELLE,FES,05.35.94.45.01,M. BENZAKOUR MOHAMED,89
SAHAR REPARTITION,Grossiste Pharmaceutique,Répartition Pharmaceutique,AVENUE DE LA MEQUE N°237 BUREAU 10,LAAYOUNE,05.28.99.41.40,MME MOUNIA EL FAR,90
S.A.R.P,Grossiste Pharmaceutique,Répartition Pharmaceutique,RESIDENCE CHARF N°80 AV AL MANSOUR,TANGER,05.39.94.40.90,MME NADIA DARRAZ,91
SDM PHARMA,Grossiste Pharmaceutique,Répartition Pharmaceutique,AVENUE ABDERAHIM BOUABID,SALA AL JADIDA,05.37.53.97.00,M. EL BACHIR BICHRI,92
S.E.R.P,Grossiste Pharmaceutique,Répartition Pharmaceutique,16 IMM 53 ALKIRAME 2 BOKAR CIE MOHAMMADIA,MARRAKECH,05.24.33.88.10,M. Nabil EL KHAOUDY,93
SOPHANORD,Grossiste Pharmaceutique,Répartition Pharmaceutique,KM7 RTE D EL HAJEB B.P. N° 212,MEKNES,05.35.53.77.11,MME Natalia GORBOUNOVA,94
SOPHATLANTIC,Grossiste Pharmaceutique,Répartition Pharmaceutique,DAR SI AISSA,SAFI,05.24.62.75.40,MME.ILHAM GHASNI,95
SOPHAFAS,Grossiste Pharmaceutique,Répartition Pharmaceutique,2 RUE KHOURIBGUA QUARTIER DOKARAT,FES,05.35.62.61.55,M. Ahmed TLEMCANI,96
SOFASAIS,Grossiste Pharmaceutique,Répartition Pharmaceutique,"N°36, RUE JABIR IBN HAYANE Q.I SIDI BRAHIM",FES,05.35.73.77.77,Mme Maha MEZIATI,97
SOPHAGHARB,Grossiste Pharmaceutique,Répartition Pharmaceutique,30 LOT SIDI ZOUZEKRI,MEKNES,05.35.45.20.80,MME NAWAL LAHBIL,98
SOPHASALE,Grossiste Pharmaceutique,Répartition Pharmaceutique,SEHB EL CAID IMM MAANINOU,SALE,05.37.81.92.00,M. JALAL KOUHEN,99
SOPHACENTRE,Grossiste Pharmaceutique,Répartition Pharmaceutique,RUE EL MAJD QUARTIER IND YACOUB EL MANSOUR,RABAT,05.37.79.59.14,M. MOHAMMED AMINE CHERKI,100
