nom,ville,type,lits,services,equipements.examens radiologiques,equipements.interventions chirurgicales,personnel.total_en_2006,personnel.total_en_2001,personnel.vacataire_en_2006,personnel.vacataire_en_2001,equipements.Auto-analyseur COBAS c311,equipements.Auto-analyseur COBAS e411,equipements.Chromatographie liquide à haute pression (HPLC) à barrette diodes,equipements.Automate COBAS C311,equipements.Dosage radio-immunologique (RIA),equipements.IRM,equipements.scanner,equipements.radiologie conventionnelle,equipements.échographie,equipements.radiologie interventionnelle,equipements.blocs opératoires,equipements.laboratoires d'analyses biologiques,equipements.unités de réanimation,personnel.chirurgiens,personnel.anesthésistes,personnel.radiologues,personnel.médecins généralistes
Hôpital de Khémisset,Khémisset,Hôpital public,,[],,,,,,,,,,,,,,,,,,,,,,,
Hôpital My El Hassan Bel Mehdi,Laayoune,Hôpital public,,[],,,,,,,,,,,,,,,,,,,,,,,
Hôpital Mohamed V,Sefrou,Hôpital public,,[],,,,,,,,,,,,,,,,,,,,,,,
Hôpital Mohamed V,Tanger,Hôpital public,,[],,,,,,,,,,,,,,,,,,,,,,,
Hôpital Hassan II,Tan Tan,Hôpital public,,[],,,,,,,,,,,,,,,,,,,,,,,
Polycliniques de la CNSS,,Polyclinique CNSS,1113.0,[],,,,,,,,,,,,,,,,,,,,,,,
CHU,,Public,,[],,,,,,,,,,,,,,,,,,,,,,,
Hôpitaux publics,,Public,,[],,,,,,,,,,,,,,,,,,,,,,,
Cliniques privées,,Privé,,[],,,,,,,,,,,,,,,,,,,,,,,
Cabinets privés,,Privé,,[],,,,,,,,,,,,,,,,,,,,,,,
Cliniques et cabinets mutualistes,,Mutualiste,,[],,,,,,,,,,,,,,,,,,,,,,,
CHU Casablanca,Casablanca,CHU,,[],,,,,,,,,,,,,,,,,,,,,,,
CHU Rabat-Salé,Rabat,CHU,,[],,,,,,,,,,,,,,,,,,,,,,,
Polycliniques de la CNSS,,Polyclinique,,[],,,,,,,,,,,,,,,,,,,,,,,
CHU,,Centre Hospitalier Universitaire,,[],,,,,,,,,,,,,,,,,,,,,,,
Polycliniques de la CNSS,,CNSS,,[],,,,,,,,,,,,,,,,,,,,,,,
Instituts et Laboratoires Nationaux,,National,,[],,,,,,,,,,,,,,,,,,,,,,,
Hôpitaux publics,,Public,,[],,,,,,,,,,,,,,,,,,,,,,,
Cabinets privés,,Privé,,[],,,,,,,,,,,,,,,,,,,,,,,
Cliniques privées,,Privé,,[],,,,,,,,,,,,,,,,,,,,,,,
Hôpitaux publics,,Public,,[],,,,,,,,,,,,,,,,,,,,,,,
Cliniques privées,,Privé,,[],,,,,,,,,,,,,,,,,,,,,,,
Cliniques et cabinets mutualistes,,Mutualiste,,[],,,,,,,,,,,,,,,,,,,,,,,
Centres de santé (RSSB),,Public,,[],,,,,,,,,,,,,,,,,,,,,,,
CHU,,Public,,[],,,,,,,,,,,,,,,,,,,,,,,
Instituts et Laboratoires Nationaux,,National,,[],,,,,,,,,,,,,,,,,,,,,,,
Hôpital Public,,Public,,[],,,,,,,,,,,,,,,,,,,,,,,
CHU,,Public,,[],,,,,,,,,,,,,,,,,,,,,,,
Hôpitaux Provinciaux,,Public,,[],,,,,,,,,,,,,,,,,,,,,,,
Cliniques Privées,,Privé,,[],,,,,,,,,,,,,,,,,,,,,,,
Clinique Mutualiste,,Mutualiste,,[],,,,,,,,,,,,,,,,,,,,,,,
Cabinets Privés,,Privé,,[],,,,,,,,,,,,,,,,,,,,,,,
Polycliniques CNSS,,CNSS,,[],,,,,,,,,,,,,,,,,,,,,,,
CHU,,CHU,43.0,[],,,,,,,,,,,,,,,,,,,,,,,
Polycliniques de la CNSS,,Polyclinique,995.0,[],oui,oui,,,,,,,,,,,,,,,,,,,,,
Polycliniques CNSS,,Polyclinique CNSS,,[],,,2745.0,3092.0,607.0,203.0,,,,,,,,,,,,,,,,,
CHU,,CHU,,[],,,,,,,,,,,,,,,,,,,,,,,
Cliniques privées,,Privé,,[],,,,,,,,,,,,,,,,,,,,,,,
Cliniques et cabinets mutualistes,,Mutualiste,,[],,,,,,,,,,,,,,,,,,,,,,,
Hôpitaux publics,,Public,,[],,,,,,,,,,,,,,,,,,,,,,,
CHU,,CHU,,[],,,,,,,,,,,,,,,,,,,,,,,
Hôpitaux,,Provincial,,[],,,,,,,,,,,,,,,,,,,,,,,
Maternité,,,,[],,,,,,,,,,,,,,,,,,,,,,,
Pédiatrie,,,,[],,,,,,,,,,,,,,,,,,,,,,,
Hôpital de Massa,Agadir,Provincial,552.0,"['Médecine', 'Chirurgie', 'Maternité', 'Pédiatrie', 'Services aux urgences']",,,,,,,,,,,,,,,,,,,,,,,
Hôpital de Laâyoune,Laâyoune,Provincial,519.0,"['Médecine', 'Chirurgie', 'Maternité', 'Pédiatrie', 'Services aux urgences']",,,,,,,,,,,,,,,,,,,,,,,
Hôpital de Tarfaya,Tarfaya,Provincial,101.0,"['Médecine', 'Chirurgie', 'Maternité', 'Pédiatrie', 'Services aux urgences']",,,,,,,,,,,,,,,,,,,,,,,
Hôpital de Guelmim,Guelmim,Provincial,103.0,"['Médecine', 'Chirurgie', 'Maternité', 'Pédiatrie', 'Services aux urgences']",,,,,,,,,,,,,,,,,,,,,,,
Hôpital de Tan-Tan,Tan-Tan,Provincial,102.0,"['Médecine', 'Chirurgie', 'Maternité', 'Pédiatrie', 'Services aux urgences']",,,,,,,,,,,,,,,,,,,,,,,
Hôpital de Marrakech,Marrakech,CHU,622.0,"['Médecine', 'Chirurgie', 'Maternité', 'Pédiatrie', 'Services aux urgences']",,,,,,,,,,,,,,,,,,,,,,,
Hôpital de Kenem-Tifelat,Kenem-Tifelat,Provincial,103.0,"['Médecine', 'Chirurgie', 'Maternité', 'Pédiatrie', 'Services aux urgences']",,,,,,,,,,,,,,,,,,,,,,,
CHU,,CHU,,[],,,,,,,,,,,,,,,,,,,,,,,
Hôpitaux relevant du Ministère de la Santé,,Public,,[],,,,,,,,,,,,,,,,,,,,,,,
Établissements de soins de santé primaires,,Public,,[],,,,,,,,,,,,,,,,,,,,,,,
Cliniques privées,,Privé,,[],,,,,,,,,,,,,,,,,,,,,,,
Cliniques mutualistes,,Mutualiste,,[],,,,,,,,,,,,,,,,,,,,,,,
Cabinets médicaux,,Privé,,[],,,,,,,,,,,,,,,,,,,,,,,
Cabinets dentaires,,Privé,,[],,,,,,,,,,,,,,,,,,,,,,,
Centres de dialyse,,Privé,,[],,,,,,,,,,,,,,,,,,,,,,,
Centres offrant des prestations à titre ambulatoire,,Privé,,[],,,,,,,,,,,,,,,,,,,,,,,
Laboratoires et centres de radiologie,,Public/Privé,,[],,,,,,,,,,,,,,,,,,,,,,,
Instituts et laboratoires nationaux publics,,Public,,[],,,,,,,,,,,,,,,,,,,,,,,
CHU,,CHU,,[],,,,,,,,,,,,,,,,,,,,,,,
Hôpitaux publics,Maroc,Public,,[],,,,,,,,,,,,,,,,,,,,,,,
CHUs,Maroc,Public,,[],,,,,,,,,,,,,,,,,,,,,,,
ESSP,Maroc,Public,,[],,,,,,,,,,,,,,,,,,,,,,,
Cliniques privées,Maroc,Privé,,[],,,,,,,,,,,,,,,,,,,,,,,
Cliniques mutualistes,Maroc,Mutualiste,,[],,,,,,,,,,,,,,,,,,,,,,,
Hôpitaux publics,,Public,,[],,,,,,,,,,,,,,,,,,,,,,,
CHUs,,Public,,[],,,,,,,,,,,,,,,,,,,,,,,
Cliniques privées,,Privé,,[],,,,,,,,,,,,,,,,,,,,,,,
Cabinets privés,,Privé,,[],,,,,,,,,,,,,,,,,,,,,,,
Pharmacie,,Privé,,[],,,,,,,,,,,,,,,,,,,,,,,
Laboratoires et Centres de radio.,,Privé,,[],,,,,,,,,,,,,,,,,,,,,,,
Centres de dialyse,,Privé,,[],,,,,,,,,,,,,,,,,,,,,,,
Cliniques mutualistes/polyclinique CNSS,,Mutualiste/CNSS,,[],,,,,,,,,,,,,,,,,,,,,,,
CHU de Rabat,Rabat,CHU,,[],,,,,,,,,,,,,,,,,,,,,,,
CHU Tanger,Tanger,CHU,,[],,,,,,,,,,,,,,,,,,,,,,,
CHU Agadir,Agadir,CHU,,[],,,,,,,,,,,,,,,,,,,,,,,
Centres d'addictologie,Casablanca,Centre spécialisé,,['Traitement des addictions'],,,,,,,,,,,,,,,,,,,,,,,
Centres d'addictologie,Tanger,Centre spécialisé,,['Traitement des addictions'],,,,,,,,,,,,,,,,,,,,,,,
Centres d'addictologie,Benslimane,Centre spécialisé,,['Traitement des addictions'],,,,,,,,,,,,,,,,,,,,,,,
Centre médico-psycho social,Tit-Mellil,Centre spécialisé,1300.0,['Soins médico-psychosociaux'],,,,,,,,,,,,,,,,,,,,,,,
Centre d'addictologie,Ain Chock,Centre spécialisé,,['Traitement des addictions'],,,,,,,,,,,,,,,,,,,,,,,
Centre médical de proximité,Ain Chock,Centre de proximité,,['Soins de proximité'],,,,,,,,,,,,,,,,,,,,,,,
Centres Médicaux de Proximité,,ESSP,0.0,[],,,,,,,,,,,,,,,,,,,,,,,
Hôpitaux publics,,Public,0.0,[],,,,,,,,,,,,,,,,,,,,,,,
CHU,,Public,0.0,[],,,,,,,,,,,,,,,,,,,,,,,
ESSP,,Public,0.0,[],,,,,,,,,,,,,,,,,,,,,,,
Cabinets privés,,Privé,0.0,[],,,,,,,,,,,,,,,,,,,,,,,
Cliniques privées,,Privé,0.0,[],,,,,,,,,,,,,,,,,,,,,,,
Centres de radiologie,,Privé,0.0,[],,,,,,,,,,,,,,,,,,,,,,,
Laboratoires,,Privé,0.0,[],,,,,,,,,,,,,,,,,,,,,,,
Centres Hospitaliers Universitaires,Rabat,CHU,,[],,,,,,,,,,,,,,,,,,,,,,,
Centres Hospitaliers Universitaires,Casablanca,CHU,,[],,,,,,,,,,,,,,,,,,,,,,,
Centres Hospitaliers Universitaires,Marrakech,CHU,,[],,,,,,,,,,,,,,,,,,,,,,,
Centres Hospitaliers Universitaires,Fès,CHU,,[],,,,,,,,,,,,,,,,,,,,,,,
Centres Hospitaliers Universitaires,Oujda,CHU,,[],,,,,,,,,,,,,,,,,,,,,,,
Centres Hospitaliers Universitaires,Tanger,CHU,,[],,,,,,,,,,,,,,,,,,,,,,,
Centres Hospitaliers Universitaires,Agadir,CHU,,[],,,,,,,,,,,,,,,,,,,,,,,
Centres Hospitaliers Universitaires,Laâyoune,CHU,,[],,,,,,,,,,,,,,,,,,,,,,,
Centres Hospitaliers Universitaires,Errachidia,CHU,,[],,,,,,,,,,,,,,,,,,,,,,,
Centres Hospitaliers Universitaires,Beni-Mellal,CHU,,[],,,,,,,,,,,,,,,,,,,,,,,
Centres Hospitaliers Universitaires,Guelmim,CHU,,[],,,,,,,,,,,,,,,,,,,,,,,
Hôpital Ibn Sina,Rabat,Hôpital,,[],,,,,,,,,,,,,,,,,,,,,,,
Cliniques privées,,Privé,16500.0,[],,,,,,,,,,,,,,,,,,,,,,,
Établissements de Soins de Santé Primaire,,Public,,[],,,,,,,,,,,,,,,,,,,,,,,
Hôpitaux publics,,Public,27539.0,[],,,,,,,,,,,,,,,,,,,,,,,
Hôpitaux publics,,Public,,[],,,,,,,,,,,,,,,,,,,,,,,
CHUs,,Public,,[],,,,,,,,,,,,,,,,,,,,,,,
ESSP,,Public,,[],,,,,,,,,,,,,,,,,,,,,,,
Cliniques privées,,Privé,,[],,,,,,,,,,,,,,,,,,,,,,,
Centres Hospitalo-Universitaires (CHUs),Non spécifié,Public,,['Soins curatifs hospitaliers'],,,,,,,,,,,,,,,,,,,,,,,
Etablissements de Soins de Santé Primaires (ESSP),Non spécifié,Public,,['Soins ambulatoires'],,,,,,,,,,,,,,,,,,,,,,,
Cliniques privées,Non spécifié,Privé,,"['Soins hospitaliers', 'Soins ambulatoires']",,,,,,,,,,,,,,,,,,,,,,,
Hôpitaux publics,Non spécifié,Public,,"['Soins hospitaliers', 'Soins ambulatoires']",,,,,,,,,,,,,,,,,,,,,,,
Centres Hospitaliers Universitaires (CHUs),,CHU,0.0,"['consultations spécialisées', 'diagnostics externes', 'urgences', 'hospitalisations']",,,,,,,,,,,,,,,,,,,,,,,
Centres Médicaux de Proximité (CMP),Tanger,Proximité,0.0,['soins de santé de qualité'],,,,,,,,,,,,,,,,,,,,,,,
Centres Médicaux de Proximité (CMP),Témara,Proximité,0.0,['soins de santé de qualité'],,,,,,,,,,,,,,,,,,,,,,,
Centres Médicaux de Proximité (CMP),Casablanca (Errahma),Proximité,0.0,['soins de santé de qualité'],,,,,,,,,,,,,,,,,,,,,,,
Centres Médicaux de Proximité (CMP),Casablanca,Proximité,0.0,['soins de santé de qualité'],,,,,,,,,,,,,,,,,,,,,,,
Centres Médicaux de Proximité (CMP),Rabat,Proximité,0.0,['soins de santé de qualité'],,,,,,,,,,,,,,,,,,,,,,,
Centre d’addictologie,Salé,Spécialisé,0.0,['traitement des addictions'],,,,,,,,,,,,,,,,,,,,,,,
Centre d’addictologie,Tanger,Spécialisé,0.0,['traitement des addictions'],,,,,,,,,,,,,,,,,,,,,,,
Centre des maladies chroniques,,Spécialisé,0.0,['traitement du diabète'],,,,,,,,,,,,,,,,,,,,,,,
Centre d’Hémodialyse,Fès,Spécialisé,0.0,['hémodialyse'],,,,,,,,,,,,,,,,,,,,,,,
CHU,,CHU,,[],,,,,,,,,,,,,,,,,,,,,,,
Hôpitaux,,Public,,[],,,,,,,,,,,,,,,,,,,,,,,
Cliniques privées,,Privé,,[],,,,,,,,,,,,,,,,,,,,,,,
Cliniques & cabinets mutualistes,,Mutualiste,,[],,,,,,,,,,,,,,,,,,,,,,,
Cabinets privés,,Privé,,[],,,,,,,,,,,,,,,,,,,,,,,
Polycliniques CNSS,Casablanca,Polyclinique CNSS,1000.0,"['Accouchements', 'Hospitalisation']",,,,,,,,,,,,,,,,,,,,,,,
Polycliniques CNSS,Agadir,Polyclinique CNSS,1000.0,"['Accouchements', 'Hospitalisation']",,,,,,,,,,,,,,,,,,,,,,,
Polycliniques CNSS,El Jadida,Polyclinique CNSS,1000.0,"['Accouchements', 'Hospitalisation']",,,,,,,,,,,,,,,,,,,,,,,
Polycliniques CNSS,Kénitra,Polyclinique CNSS,1000.0,"['Accouchements', 'Hospitalisation']",,,,,,,,,,,,,,,,,,,,,,,
Polycliniques CNSS,Marrakech,Polyclinique CNSS,1000.0,"['Accouchements', 'Hospitalisation']",,,,,,,,,,,,,,,,,,,,,,,
Polycliniques CNSS,Mohammedia,Polyclinique CNSS,1000.0,"['Accouchements', 'Hospitalisation']",,,,,,,,,,,,,,,,,,,,,,,
Polycliniques CNSS,Oujda,Polyclinique CNSS,1000.0,"['Accouchements', 'Hospitalisation']",,,,,,,,,,,,,,,,,,,,,,,
Polycliniques CNSS,Settat,Polyclinique CNSS,1000.0,"['Accouchements', 'Hospitalisation']",,,,,,,,,,,,,,,,,,,,,,,
Polycliniques CNSS,Tanger,Polyclinique CNSS,1000.0,"['Accouchements', 'Hospitalisation']",,,,,,,,,,,,,,,,,,,,,,,
CHU Ibn Rochd,Casablanca,CHU,,"['Traitement des cancers', 'Maison de Vie pour enfants']",,,,,,,,,,,,,,,,,,,,,,,
Institut National d’Oncologie,Rabat,CHU,,['Centre d’oncologie gynéco-mammaire'],,,,,,,,,,,,,,,,,,,,,,,
Centre hospitalier universitaire (CHU),Fès,CHU,,['Institut de Recherche sur le Cancer'],,,,,,,,,,,,,,,,,,,,,,,
Centre hospitalier universitaire (CHU),Marrakech,CHU,,['Accélérateurs linéaires'],,,,,,,,,,,,,,,,,,,,,,,
Centre hospitalier universitaire Hassan II,Fès,CHU,,['Accélérateurs linéaires'],,,,,,,,,,,,,,,,,,,,,,,
CHU,,Centres Hospitaliers Universitaires,0.0,[],,,,,,,,,,,,,,,,,,,,,,,
,,Cliniques,0.0,[],,,,,,,,,,,,,,,,,,,,,,,
,,Cabinets Privés,0.0,[],,,,,,,,,,,,,,,,,,,,,,,
,,Hôpitaux Publics,0.0,[],,,,,,,,,,,,,,,,,,,,,,,
,,Hôpitaux Mutualistes,0.0,[],,,,,,,,,,,,,,,,,,,,,,,
Centres Hospitaliers Universitaires,,CHU,,"['Soins de réadaptation fonctionnelle', 'Gériatrie']",,,,,,,,,,,,,,,,,,,,,,,
Hôpitaux régionaux,,Régional,,"['Soins de réadaptation fonctionnelle', 'Gériatrie']",,,,,,,,,,,,,,,,,,,,,,,
Programme National de Nutrition (PNN),Rabat,National Program,,"['Nutrition', 'Population Health']",,,,,,,,,,,,,,,,,,,,,,,
Hôpital d’Enfant de Rabat,Rabat,Hospital,,[],,,,,,,,,,,,,,,,,,,,,,,
Institut National d’Hygiène (INH),Rabat,Institute,,"['Analyses biochimiques (Ferritine, CRP, Acide folique)']",,,,,,,,,,,,,,,,,,,,,,,
Unité Mixte de Recherche en Nutrition et Alimentation (CNESTEN-Université Ibn-Tofail),Tétouan,Research Unit,,"['Analyses biochimiques (Rétinol sérique, Iode urinaire, Créatinine, Vitamine D)']",,,,,,,,,,,,,,,,,,,,,,,
Hôpital de zone,,Zone,250.0,"['Médecine', 'Chirurgie', 'Pédiatrie', 'Gynécologie']",,,,,,,,,,,,,,,,,,,,,,,
Hôpital provincial,,Provincial,500.0,"['Médecine', 'Chirurgie', 'Pédiatrie', 'Gynécologie', 'Spécialités']",,,,,,,,,,,,,,,,,,,,,,,
Hôpital régional,,Régional,1000.0,"['Médecine', 'Chirurgie', 'Pédiatrie', 'Gynécologie', 'Spécialités']",,,,,,,,,,,,,,,,,,,,,,,
Hôpital national (ou universitaire),,National (Universitaire),2000.0,['Toutes les spécialités'],,,,,,,,,,,,,,,,,,,,,,,
HOPITAL PUBLIC,,Public,,"['Maternité', 'Centre de santé', 'Dispensaire', 'Visite à domicile', 'Equipe mobile']",,,,,,,,,,,,,,,,,,,,,,,
CLINIQUE,,Privé,,[],,,,,,,,,,,,,,,,,,,,,,,
MATERNITE,,Public,,[],,,,,,,,,,,,,,,,,,,,,,,
CENTRE DE SANTE,,Public,,[],,,,,,,,,,,,,,,,,,,,,,,
DISPENSAIRE,,Public,,[],,,,,,,,,,,,,,,,,,,,,,,
AMPF,,Privé,,[],,,,,,,,,,,,,,,,,,,,,,,
MAISON D'ACCOUCHEMENT,,Public,,[],,,,,,,,,,,,,,,,,,,,,,,
Hôpital local,,Soins de santé de base,,"['Promotion de la santé', 'Prévention', 'Soins essentiels']",,,,,,,,,,,,,,,,,,,,,,,
Centre de santé urbain,,Soins de santé de base,,"['Promotion de la santé', 'Prévention', 'Soins essentiels']",,,,,,,,,,,,,,,,,,,,,,,
Centre de santé communal,,Soins de santé de base,,"['Promotion de la santé', 'Prévention', 'Soins essentiels']",,,,,,,,,,,,,,,,,,,,,,,
Dispensaire rural,,Soins de santé de base,,"['Promotion de la santé', 'Prévention', 'Soins essentiels']",,,,,,,,,,,,,,,,,,,,,,,
Polyclinique de santé publique (PSP),,Réseau hospitalier (1er niveau),,[],,,,,,,,,,,,,,,,,,,,,,,
Centre hospitalier provincial (CHP),,Réseau hospitalier (1er niveau),,[],,,,,,,,,,,,,,,,,,,,,,,
Centre hospitalier régional (CHR),,Réseau hospitalier (2ème niveau),,[],,,,,,,,,,,,,,,,,,,,,,,
Centre hospitalier universitaire (CHU),,Réseau hospitalier (3ème niveau),,[],,,,,,,,,,,,,,,,,,,,,,,
Hôpital général,,Réseau hospitalier,,"['Chirurgie', 'Médecine', 'Obstétrique', 'Pédiatrie', 'Urgences']",,,,,,,,,,,,,,,,,,,,,,,
Hôpital spécialisé,,Réseau hospitalier,,['Psychiatrie'],,,,,,,,,,,,,,,,,,,,,,,
Maternités des hôpitaux,,,,['Accouchement par césarienne'],,,,,,,,,,,,,,,,,,,,,,,
Cliniques (secteur privé à but lucratif),,Privé (lucratif),,[],,,,,,,,,,,,,,,,,,,,,,,
Cliniques (secteur privé à but non lucratif),,Privé (non lucratif),,[],,,,,,,,,,,,,,,,,,,,,,,
Institut National d’Hygiène (INH),Rabat,Laboratoire de Référence,,"['Analyse sérologique', ""Diagnostic de l'hépatite B"", ""Diagnostic de l'hépatite C"", ""Diagnostic de l'hépatite A"", 'Gènotypage VHC', 'Charge virale']",,,,,,,,,,,,,,,,,,,,,,,
Institut Pasteur du Maroc (IPM),Casablanca,Laboratoire de Référence,,"['Analyse sérologique', ""Diagnostic de l'hépatite B"", ""Diagnostic de l'hépatite C"", ""Diagnostic de l'hépatite A"", 'Gènotypage VHC', 'Charge virale']",,,,,,,,,,,,,,,,,,,,,,,
Laboratoires provinciaux,,Laboratoire Provincial,,['Prétraitement des échantillons sanguins'],,,,,,,,,,,,,,,,,,,,,,,
CHPs/CHRs,,Hôpital,,['Centrifugation des prélèvements sanguins'],,,,,,,,,,,,,,,,,,,,,,,
Faculté de médecine et de Pharmacie de Rabat,Rabat,Faculté de Médecine,,"[""Approbation des protocoles d'étude éthiques""]",,,,,,,,,,,,,,,,,,,,,,,
hôpital de zone,,Zone,,"['médecine', 'chirurgie', 'pédiatrie', 'gynécologie']",,,,,,,,,,,,,,,,,,,,,,,
hôpital provincial,,Provincial,,[],,,,,,,,,,,,,,,,,,,,,,,
hôpital régional,,Régional,,[],,,,,,,,,,,,,,,,,,,,,,,
hôpital national (ou universitaire),,National / Universitaire,,[],,,,,,,,,,,,,,,,,,,,,,,
Hopital/ Centre de santé,Guelmim - Oued Noun,Centre de santé,,[],,,,,,,,,,,,,,,,,,,,,,,
Hopital/ Centre de santé,Al Hocei ma - S a k k i a El Ha mra,Centre de santé,,[],,,,,,,,,,,,,,,,,,,,,,,
Hopital/ Centre de santé,Fès - Meknès,Centre de santé,,[],,,,,,,,,,,,,,,,,,,,,,,
Hopital/ Centre de santé,Oued Ed Dahab,Centre de santé,,[],,,,,,,,,,,,,,,,,,,,,,,
Hopital/ Centre de santé,Marrakech - Safi,Centre de santé,,[],,,,,,,,,,,,,,,,,,,,,,,
Hopital/ Centre de santé,Drâa-Tafilalet,Centre de santé,,[],,,,,,,,,,,,,,,,,,,,,,,
Hopital/ Centre de santé,Sous- Massa,Centre de santé,,[],,,,,,,,,,,,,,,,,,,,,,,
Hopital/ Centre de santé,National,Centre de santé,,[],,,,,,,,,,,,,,,,,,,,,,,
Hopital/ Centre de santé,R ab at - Salé,Centre de santé,,[],,,,,,,,,,,,,,,,,,,,,,,
Hopital/ Centre de santé,Kénitra,Centre de santé,,[],,,,,,,,,,,,,,,,,,,,,,,
Hopital/ Centre de santé,Casablanca - Settat,Centre de santé,,[],,,,,,,,,,,,,,,,,,,,,,,
Hopital/ Centre de santé,Béni Mellal - Khénifra,Centre de santé,,[],,,,,,,,,,,,,,,,,,,,,,,
CHU Ibn Sina,Rabat,CHU,800.0,"['Chirurgie générale', 'Chirurgie orthopédique', 'Cardiologie', 'Neurologie', 'Gastro-entérologie', 'Pneumologie', 'Oncologie', 'Hématologie', 'Néphrologie', 'Urologie', 'Ophtalmologie', 'ORL', 'Dermatologie', 'Endocrinologie', 'Réanimation', 'Chirurgie pédiatrique', 'Chirurgie plastique et reconstructrice', 'Chirurgie cardiaque', 'Chirurgie thoracique', 'Chirurgie digestive', 'Chirurgie neurologique', 'Chirurgie vasculaire', 'Chirurgie maxillo-faciale', 'Chirurgie urologique', 'Anesthésie-Réanimation', 'Radiologie', ""Laboratoire d'analyses biologiques"", 'Radiothérapie']",,,,,,,,,,,,1,1,1,1,1,10,2,2,16,6,2,10
Hôpital Provincial de Meknès,Meknès,Provincial,300.0,"['Chirurgie générale', 'Chirurgie orthopédique', 'Cardiologie', 'Neurologie', 'Pneumologie', 'Dermatologie', 'Radiologie', ""Laboratoire d'analyses biologiques"", 'Pédiatrie']",,,,,,,,,,,,,,1,1,,3,1,,4,2,,8
Centre Hospitalier d'Agadir,Agadir,Centre Hospitalier,450.0,"['Chirurgie générale', 'Chirurgie orthopédique', 'Cardiologie', 'Neurologie', 'Gastro-entérologie', 'Pneumologie', 'Oncologie', 'Hématologie', 'Néphrologie', 'Urologie', 'Ophtalmologie', 'ORL', 'Dermatologie', 'Endocrinologie', 'Radiologie', ""Laboratoire d'analyses biologiques"", 'Pédiatrie']",,,,,,,,,,,,1,1,1,1,,6,1,,8,4,1,12
Hôpital Privé Marrakech,Marrakech,Privé,150.0,"['Chirurgie générale', 'Cardiologie', 'Neurologie', 'Dermatologie', 'Radiologie', 'Pédiatrie', 'Gynécologie']",,,,,,,,,,,,,1,1,1,,3,,,5,3,,6
Hôpital Al Farabi,Oujda,CHU,500.0,"['Chirurgie générale', 'Chirurgie orthopédique', 'Cardiologie', 'Neurologie', 'Gastro-entérologie', 'Pneumologie', 'Oncologie', 'Hématologie', 'Néphrologie', 'Urologie', 'Ophtalmologie', 'ORL', 'Dermatologie', 'Endocrinologie', 'Réanimation', 'Chirurgie pédiatrique']",,,,,,,,,,,,1,1,1,1,,8,,2,12,5,2,10
Hôpital Provincial de Taza,Taza,Provincial,120.0,"['Chirurgie générale', 'Pneumologie', 'Dermatologie', 'Radiologie', 'Pédiatrie']",,,,,,,,,,,,,,1,1,,2,,,3,1,,5
Hôpital Privé Casablanca,Casablanca,Privé,250.0,"['Chirurgie générale', 'Chirurgie orthopédique', 'Cardiologie', 'Neurologie', 'Gastro-entérologie', 'Pneumologie', 'Oncologie', 'Hématologie', 'Néphrologie', 'Urologie', 'Ophtalmologie', 'ORL', 'Dermatologie', 'Endocrinologie', 'Radiologie', 'Pédiatrie', 'Gynécologie']",,,,,,,,,,,,1,1,1,1,,5,,,10,5,2,15
